id,filename,name,datum,utm_zone,date,size
9071194,PNOA_MDT05_ETRS89_HU29_0125_LID.asc,0125,ETRS89,29,"2010, 2009",172.41
9071195,PNOA_MDT05_ETRS89_HU29_0126_LID.asc,0126,ETRS89,29,"2010, 2009, 2012",169.81
9071196,PNOA_MDT05_ETRS89_HU29_0127_LID.asc,0127,ETRS89,29,"2010, 2012",178.82000000000002
9071197,PNOA_MDT05_ETRS89_HU29_0128_LID.asc,0128,ETRS89,29,2010,185.8
9071198,PNOA_MDT05_ETRS89_HU29_0151_LID.asc,0151,ETRS89,29,2010,71.49000000000001
9071199,PNOA_MDT05_ETRS89_HU29_0152_LID.asc,0152,ETRS89,29,2010,130.72
9071200,PNOA_MDT05_ETRS89_HU29_0153_LID.asc,0153,ETRS89,29,"2010, 2009",156.38000000000002
9071201,PNOA_MDT05_ETRS89_HU29_0154_LID.asc,0154,ETRS89,29,"2010, 2009",157.97
9071202,PNOA_MDT05_ETRS89_HU29_0155_LID.asc,0155,ETRS89,29,2009,159.06
9071203,PNOA_MDT05_ETRS89_HU29_0156_LID.asc,0156,ETRS89,29,2009,161.94
9071204,PNOA_MDT05_ETRS89_HU29_0157_LID.asc,0157,ETRS89,29,"2010, 2009",170.91
9071205,PNOA_MDT05_ETRS89_HU29_0158_LID.asc,0158,ETRS89,29,"2010, 2009",163.06
9071206,PNOA_MDT05_ETRS89_HU29_0159_LID.asc,0159,ETRS89,29,2010,174.70999999999998
9071207,PNOA_MDT05_ETRS89_HU29_0160_LID.asc,0160,ETRS89,29,2010,173.87
9071208,PNOA_MDT05_ETRS89_HU29_0184_LID.asc,0184,ETRS89,29,2010,74.76
9071209,PNOA_MDT05_ETRS89_HU29_0185_LID.asc,0185,ETRS89,29,"2010, 2009",127.03
9071210,PNOA_MDT05_ETRS89_HU29_0186_LID.asc,0186,ETRS89,29,"2010, 2009",156.91
9071211,PNOA_MDT05_ETRS89_HU29_0187_LID.asc,0187,ETRS89,29,2009,157.73999999999998
9071212,PNOA_MDT05_ETRS89_HU29_0188_LID.asc,0188,ETRS89,29,2009,160.08
9071213,PNOA_MDT05_ETRS89_HU29_0189_LID.asc,0189,ETRS89,29,2009,161.56
9071214,PNOA_MDT05_ETRS89_HU29_0190_LID.asc,0190,ETRS89,29,"2010, 2009",167.14
9071215,PNOA_MDT05_ETRS89_HU29_0191_LID.asc,0191,ETRS89,29,"2010, 2009",173.23999999999998
9071216,PNOA_MDT05_ETRS89_HU29_0192_LID.asc,0192,ETRS89,29,2010,184.10999999999999
9071217,PNOA_MDT05_ETRS89_HU29_0193_LID.asc,0193,ETRS89,29,2010,167.23
9071218,PNOA_MDT05_ETRS89_HU29_0222_LID.asc,0222,ETRS89,29,2010,70.43
9071219,PNOA_MDT05_ETRS89_HU29_0223_LID.asc,0223,ETRS89,29,"2010, 2009",124.19
9071220,PNOA_MDT05_ETRS89_HU29_0224_LID.asc,0224,ETRS89,29,2009,156.22
9071221,PNOA_MDT05_ETRS89_HU29_0225_LID.asc,0225,ETRS89,29,2009,157.4
9071222,PNOA_MDT05_ETRS89_HU29_0226_LID.asc,0226,ETRS89,29,2009,160.60999999999999
9071223,PNOA_MDT05_ETRS89_HU29_0227_LID.asc,0227,ETRS89,29,2009,175.45000000000002
9071224,PNOA_MDT05_ETRS89_HU29_0228_LID.asc,0228,ETRS89,29,"2010, 2009",173.86
9071225,PNOA_MDT05_ETRS89_HU29_0229_LID.asc,0229,ETRS89,29,"2010, 2009",183.47
9071226,PNOA_MDT05_ETRS89_HU29_0230_LID.asc,0230,ETRS89,29,2010,183.75
9071227,PNOA_MDT05_ETRS89_HU29_0231_LID.asc,0231,ETRS89,29,2010,167.16
9071228,PNOA_MDT05_ETRS89_HU29_0260_LID.asc,0260,ETRS89,29,"2010, 2009",77.19
9071229,PNOA_MDT05_ETRS89_HU29_0261_LID.asc,0261,ETRS89,29,"2010, 2009",141.97
9071230,PNOA_MDT05_ETRS89_HU29_0262_LID.asc,0262,ETRS89,29,2009,129.3
9071231,PNOA_MDT05_ETRS89_HU29_0263_LID.asc,0263,ETRS89,29,2009,159.1
9071232,PNOA_MDT05_ETRS89_HU29_0264_LID.asc,0264,ETRS89,29,2009,160.23999999999998
9071233,PNOA_MDT05_ETRS89_HU29_0265_LID.asc,0265,ETRS89,29,2009,169.55
9071234,PNOA_MDT05_ETRS89_HU29_0266_LID.asc,0266,ETRS89,29,"2010, 2009",177.44
9071235,PNOA_MDT05_ETRS89_HU29_0267_LID.asc,0267,ETRS89,29,2010,179.8
9071236,PNOA_MDT05_ETRS89_HU29_0268_LID.asc,0268,ETRS89,29,2010,171.18
9071237,PNOA_MDT05_ETRS89_HU29_0269_LID.asc,0269,ETRS89,29,2010,167
9071238,PNOA_MDT05_ETRS89_HU29_0298_LID.asc,0298,ETRS89,29,2009,77.04
9071239,PNOA_MDT05_ETRS89_HU29_0299_LID.asc,0299,ETRS89,29,2009,110.99000000000001
9071241,PNOA_MDT05_ETRS89_HU29_0300B_LID.asc,0300B,ETRS89,29,2009,100.7
9071240,PNOA_MDT05_ETRS89_HU29_0300_LID.asc,0300,ETRS89,29,2009,107.85
9071242,PNOA_MDT05_ETRS89_HU29_0301_LID.asc,0301,ETRS89,29,2009,163.6
9071244,PNOA_MDT05_ETRS89_HU29_0302B_LID.asc,0302B,ETRS89,29,2009,107.49000000000001
9071243,PNOA_MDT05_ETRS89_HU29_0302_LID.asc,0302,ETRS89,29,2009,163.12
9071246,PNOA_MDT05_ETRS89_HU29_0303B_LID.asc,0303B,ETRS89,29,2009,110.43
9071245,PNOA_MDT05_ETRS89_HU29_0303_LID.asc,0303,ETRS89,29,2009,160.91
9071247,PNOA_MDT05_ETRS89_HU29_0304_LID.asc,0304,ETRS89,29,"2010, 2009",134.79
9071248,PNOA_MDT05_ETRS89_HU29_0305_LID.asc,0305,ETRS89,29,2010,148.54
9071249,PNOA_MDT05_ETRS89_HU29_0306_LID.asc,0306,ETRS89,29,2010,168.44
9071250,PNOA_MDT05_ETRS89_HU29_0307_LID.asc,0307,ETRS89,29,2010,168.06
9071251,PNOA_MDT05_ETRS89_HU29_0336_LID.asc,0336,ETRS89,29,2009,110.6
9071252,PNOA_MDT05_ETRS89_HU29_0337_LID.asc,0337,ETRS89,29,"2014, 2010",117.79
9071253,PNOA_MDT05_ETRS89_HU29_0338_LID.asc,0338,ETRS89,29,"2014, 2010",166.22
9071254,PNOA_MDT05_ETRS89_HU29_0339_LID.asc,0339,ETRS89,29,"2014, 2010",167.02
9071255,PNOA_MDT05_ETRS89_HU29_0367_LID.asc,0367,ETRS89,29,2014,121.07
9071256,PNOA_MDT05_ETRS89_HU29_0368_LID.asc,0368,ETRS89,29,"2014, 2010",163.95000000000002
9071257,PNOA_MDT05_ETRS89_HU29_0395_LID.asc,0395,ETRS89,29,2014,137.42000000000002
9071258,PNOA_MDT05_ETRS89_HU29_0396_LID.asc,0396,ETRS89,29,2014,168.10999999999999
9071259,PNOA_MDT05_ETRS89_HU29_0422_LID.asc,0422,ETRS89,29,2014,124.33
9071260,PNOA_MDT05_ETRS89_HU29_0423_LID.asc,0423,ETRS89,29,2014,155.25
9071261,PNOA_MDT05_ETRS89_HU29_0424_LID.asc,0424,ETRS89,29,2014,166.53
9071262,PNOA_MDT05_ETRS89_HU29_0448B_LID.asc,0448B,ETRS89,29,2014,109.43
9071263,PNOA_MDT05_ETRS89_HU29_0449_LID.asc,0449,ETRS89,29,2014,155.98000000000002
9071264,PNOA_MDT05_ETRS89_HU29_0450_LID.asc,0450,ETRS89,29,2014,168.04
9071265,PNOA_MDT05_ETRS89_HU29_0451_LID.asc,0451,ETRS89,29,2014,168.68
9071266,PNOA_MDT05_ETRS89_HU29_0474_LID.asc,0474,ETRS89,29,2014,109.51
9071267,PNOA_MDT05_ETRS89_HU29_0475_LID.asc,0475,ETRS89,29,2014,165.64
9071268,PNOA_MDT05_ETRS89_HU29_0476_LID.asc,0476,ETRS89,29,2014,168.37
9071269,PNOA_MDT05_ETRS89_HU29_0477_LID.asc,0477,ETRS89,29,2014,169.79
9071270,PNOA_MDT05_ETRS89_HU29_0500_LID.asc,0500,ETRS89,29,2014,163.22
9071271,PNOA_MDT05_ETRS89_HU29_0501_LID.asc,0501,ETRS89,29,2014,168.73999999999998
9071272,PNOA_MDT05_ETRS89_HU29_0502_LID.asc,0502,ETRS89,29,2014,171
9071273,PNOA_MDT05_ETRS89_HU29_0525_LID.asc,0525,ETRS89,29,2014,163.06
9071274,PNOA_MDT05_ETRS89_HU29_0526_LID.asc,0526,ETRS89,29,"2014, 2010",172.94
9071275,PNOA_MDT05_ETRS89_HU29_0527_LID.asc,0527,ETRS89,29,"2014, 2010",177.17
9071276,PNOA_MDT05_ETRS89_HU29_0550_LID.asc,0550,ETRS89,29,"2014, 2010",167.13
9071277,PNOA_MDT05_ETRS89_HU29_0551_LID.asc,0551,ETRS89,29,"2014, 2010",174.86
9071278,PNOA_MDT05_ETRS89_HU29_0552_LID.asc,0552,ETRS89,29,"2014, 2010",172.54
9071279,PNOA_MDT05_ETRS89_HU29_0572_LID.asc,0572,ETRS89,29,"2014, 2010",140.7
9071280,PNOA_MDT05_ETRS89_HU29_0573_LID.asc,0573,ETRS89,29,"2014, 2010",171.5
9071281,PNOA_MDT05_ETRS89_HU29_0574_LID.asc,0574,ETRS89,29,2010,170.49
