id,download_id,series,datum,utm_zone,date,size
0001,9071136,MDT05,ETRS89,29,2010,21.68
0002,9071137,MDT05,ETRS89,29,"2009, 2010",32.33
0003,9071138,MDT05,ETRS89,29,2009,8.44
0006,9071139,MDT05,ETRS89,29,2010,13.95
0007,9071140,MDT05,ETRS89,29,2010,74.57
0008,9071141,MDT05,ETRS89,29,"2009, 2010",84.8
0009,9071142,MDT05,ETRS89,29,2009,64.66
0010,9071143,MDT05,ETRS89,29,"2009, 2012",27.83
0011,9071144,MDT05,ETRS89,29,2012,29.37
0012,9071145,MDT05,ETRS89,29,2012,32.73
0013,9071146,MDT05,ETRS89,29,2012,41.76
0020,9071147,MDT05,ETRS89,29,2010,0.64
0021,9071148,MDT05,ETRS89,29,2010,29.73
0022,9071149,MDT05,ETRS89,29,"2009, 2010",79.42
0023,9071150,MDT05,ETRS89,29,"2009, 2010",80.67
0024,9071151,MDT05,ETRS89,29,"2009, 2012",84.98
0025,9071152,MDT05,ETRS89,29,"2009, 2012",83.49
0026,9071153,MDT05,ETRS89,29,2012,84.99
0027,9071154,MDT05,ETRS89,29,2012,84.32
0028,9071155,MDT05,ETRS89,29,2012,84.35
0043,9071156,MDT05,ETRS89,29,2010,34.59
0044,9071157,MDT05,ETRS89,29,2010,66.8
0045,9071158,MDT05,ETRS89,29,2010,78.97
0046,9071159,MDT05,ETRS89,29,"2009, 2010",80.09
0047,9071160,MDT05,ETRS89,29,"2009, 2010",76.18
0048,9071161,MDT05,ETRS89,29,2009,79.69
0049,9071162,MDT05,ETRS89,29,"2009, 2012",84.15
0050,9071163,MDT05,ETRS89,29,"2009, 2012",84.3
0051,9071164,MDT05,ETRS89,29,2012,86.03
0052,9071165,MDT05,ETRS89,29,2012,87.88
0067,9071166,MDT05,ETRS89,29,2010,12.26
0068,9071167,MDT05,ETRS89,29,2010,75.83
0069,9071168,MDT05,ETRS89,29,2010,77.22
0070,9071169,MDT05,ETRS89,29,2010,77.92
0071,9071170,MDT05,ETRS89,29,"2009, 2010",78.24
0072,9071171,MDT05,ETRS89,29,2009,77.02
0073,9071172,MDT05,ETRS89,29,2009,81.76
0074,9071173,MDT05,ETRS89,29,"2009, 2012",86.31
0075,9071174,MDT05,ETRS89,29,"2009, 2010, 2012",85.62
0076,9071175,MDT05,ETRS89,29,"2010, 2012",85.6
0077,9071176,MDT05,ETRS89,29,"2010, 2012",86.95
0092,9071177,MDT05,ETRS89,29,2010,10.59
0093,9071178,MDT05,ETRS89,29,2010,72.07
0094,9071179,MDT05,ETRS89,29,2010,79.63
0095,9071180,MDT05,ETRS89,29,2010,78.76
0096,9071181,MDT05,ETRS89,29,"2009, 2010",79.61
0097,9071182,MDT05,ETRS89,29,2009,79.88
0098,9071183,MDT05,ETRS89,29,2009,81.75
0099,9071184,MDT05,ETRS89,29,"2009, 2010, 2012",87.68
0100,9071185,MDT05,ETRS89,29,"2009, 2010, 2012",85.59
0101,9071186,MDT05,ETRS89,29,"2010, 2012",86.46
0102,9071187,MDT05,ETRS89,29,"2010, 2012",86.06
0119,9071188,MDT05,ETRS89,29,2010,45.99
0120,9071189,MDT05,ETRS89,29,2010,81.08
0121,9071190,MDT05,ETRS89,29,2010,81.28
0122,9071191,MDT05,ETRS89,29,"2009, 2010",80.35
0123,9071192,MDT05,ETRS89,29,2009,80.73
0124,9071193,MDT05,ETRS89,29,2009,83.09
