id,filename,name,datum,utm_zone
10325498,MDT02-ETRS89-HU28-1105-2-COB2.asc,1105-2,ETRS89,28
10325503,MDT02-ETRS89-HU28-1105-3-COB2.asc,1105-3,ETRS89,28
10325500,MDT02-ETRS89-HU28-1105-4-COB2.asc,1105-4,ETRS89,28
10325512,MDT02-ETRS89-HU28-1106-2-COB2.asc,1106-2,ETRS89,28
10325455,MDT02-ETRS89-HU28-1106-4-COB2.asc,1106-4,ETRS89,28
10325510,MDT02-ETRS89-HU28-1107-1-COB2.asc,1107-1,ETRS89,28
10325522,MDT02-ETRS89-HU28-1107-2-COB2.asc,1107-2,ETRS89,28
10325497,MDT02-ETRS89-HU28-1107-3-COB2.asc,1107-3,ETRS89,28
10325525,MDT02-ETRS89-HU28-1107-4-COB2.asc,1107-4,ETRS89,28
10325515,MDT02-ETRS89-HU28-1108-2-1-COB2.asc,1108-2-1,ETRS89,28
10325480,MDT02-ETRS89-HU28-1109-1-COB2.asc,1109-1,ETRS89,28
10323899,MDT02-ETRS89-HU29-0001-2-COB2.asc,0001-2,ETRS89,29
10323778,MDT02-ETRS89-HU29-0001-3-COB2.asc,0001-3,ETRS89,29
10323707,MDT02-ETRS89-HU29-0001-4-COB2.asc,0001-4,ETRS89,29
10323961,MDT02-ETRS89-HU29-0002-1-COB2.asc,0002-1,ETRS89,29
10323968,MDT02-ETRS89-HU29-0002-2-COB2.asc,0002-2,ETRS89,29
10323934,MDT02-ETRS89-HU29-0002-3-COB2.asc,0002-3,ETRS89,29
10323948,MDT02-ETRS89-HU29-0002-4-COB2.asc,0002-4,ETRS89,29
10323851,MDT02-ETRS89-HU29-0003-3-COB2.asc,0003-3,ETRS89,29
10323866,MDT02-ETRS89-HU29-0006-2-COB2.asc,0006-2,ETRS89,29
10323760,MDT02-ETRS89-HU29-0006-4-COB2.asc,0006-4,ETRS89,29
10323829,MDT02-ETRS89-HU29-0007-1-COB2.asc,0007-1,ETRS89,29
10323704,MDT02-ETRS89-HU29-0007-2-COB2.asc,0007-2,ETRS89,29
10323774,MDT02-ETRS89-HU29-0007-3-COB2.asc,0007-3,ETRS89,29
10323789,MDT02-ETRS89-HU29-0007-4-COB2.asc,0007-4,ETRS89,29
10323977,MDT02-ETRS89-HU29-0008-1-COB2.asc,0008-1,ETRS89,29
10323949,MDT02-ETRS89-HU29-0008-2-COB2.asc,0008-2,ETRS89,29
10323958,MDT02-ETRS89-HU29-0008-3-COB2.asc,0008-3,ETRS89,29
10323947,MDT02-ETRS89-HU29-0008-4-COB2.asc,0008-4,ETRS89,29
10323820,MDT02-ETRS89-HU29-0009-1-COB2.asc,0009-1,ETRS89,29
10323904,MDT02-ETRS89-HU29-0009-2-COB2.asc,0009-2,ETRS89,29
10323869,MDT02-ETRS89-HU29-0009-3-COB2.asc,0009-3,ETRS89,29
10323909,MDT02-ETRS89-HU29-0009-4-COB2.asc,0009-4,ETRS89,29
10323726,MDT02-ETRS89-HU29-0010-3-COB2.asc,0010-3,ETRS89,29
10323700,MDT02-ETRS89-HU29-0020-3-COB2.asc,0020-3,ETRS89,29
10323779,MDT02-ETRS89-HU29-0021-2-COB2.asc,0021-2,ETRS89,29
10323766,MDT02-ETRS89-HU29-0021-3-COB2.asc,0021-3,ETRS89,29
10323857,MDT02-ETRS89-HU29-0021-4-COB2.asc,0021-4,ETRS89,29
10323821,MDT02-ETRS89-HU29-0022-1-COB2.asc,0022-1,ETRS89,29
10323761,MDT02-ETRS89-HU29-0022-2-COB2.asc,0022-2,ETRS89,29
10323864,MDT02-ETRS89-HU29-0022-3-COB2.asc,0022-3,ETRS89,29
10323932,MDT02-ETRS89-HU29-0022-4-COB2.asc,0022-4,ETRS89,29
10323979,MDT02-ETRS89-HU29-0023-1-COB2.asc,0023-1,ETRS89,29
10323969,MDT02-ETRS89-HU29-0023-2-COB2.asc,0023-2,ETRS89,29
10323963,MDT02-ETRS89-HU29-0023-3-COB2.asc,0023-3,ETRS89,29
10323959,MDT02-ETRS89-HU29-0023-4-COB2.asc,0023-4,ETRS89,29
10323885,MDT02-ETRS89-HU29-0024-1-COB2.asc,0024-1,ETRS89,29
10323912,MDT02-ETRS89-HU29-0024-2-COB2.asc,0024-2,ETRS89,29
