id,download_id,series,datum,utm_zone,date,size
0001-2,10323899,MDT02,ETRS89,29,2015,19.52
0001-3,10323778,MDT02,ETRS89,29,2015,30.34
0001-4,10323707,MDT02,ETRS89,29,2015,107.29
0002-1,10323961,MDT02,ETRS89,29,"2015, 2016",16.62
0002-2,10323968,MDT02,ETRS89,29,"2015, 2016",19.38
0002-3,10323934,MDT02,ETRS89,29,"2015, 2016",113.37
0002-4,10323948,MDT02,ETRS89,29,"2015, 2016",104.28
0003-3,10323851,MDT02,ETRS89,29,2016,67.05
0006-2,10323866,MDT02,ETRS89,29,2015,11.36
0006-4,10323760,MDT02,ETRS89,29,2015,96.72
0007-1,10323829,MDT02,ETRS89,29,2015,103.34
0007-2,10323704,MDT02,ETRS89,29,2015,123.77
0007-3,10323774,MDT02,ETRS89,29,2015,117.66
0007-4,10323789,MDT02,ETRS89,29,2015,123.46
0008-1,10323977,MDT02,ETRS89,29,"2015, 2016",127.31
0008-2,10323949,MDT02,ETRS89,29,"2015, 2016",126.8
0008-3,10323958,MDT02,ETRS89,29,"2015, 2016",128.64
0008-4,10323947,MDT02,ETRS89,29,"2015, 2016",128.39
0009-1,10323820,MDT02,ETRS89,29,2016,126.25
0009-2,10323904,MDT02,ETRS89,29,2016,37.69
0009-3,10323869,MDT02,ETRS89,29,2016,123.41
0009-4,10323909,MDT02,ETRS89,29,2016,119.16
0010-3,10323726,MDT02,ETRS89,29,2020,79.03
0010-4,10323875,MDT02,ETRS89,29,2020,104.24
0011-3,11274705,MDT02,ETRS89,29,2020,101.41
0011-4,11274706,MDT02,ETRS89,29,2020,97.72
0012-2,11274707,MDT02,ETRS89,29,2020,2.8
0012-3,11274708,MDT02,ETRS89,29,2020,94.32
0012-4,11274709,MDT02,ETRS89,29,2020,120.95
0013-1,11274710,MDT02,ETRS89,29,2020,1.34
0013-2,11274711,MDT02,ETRS89,29,2020,37.29
0013-3,11274712,MDT02,ETRS89,29,2020,113.47
0013-4,11274713,MDT02,ETRS89,29,2020,138.8
0020-3,10323700,MDT02,ETRS89,29,2015,9.5
0021-2,10323779,MDT02,ETRS89,29,2015,95.27
0021-3,10323766,MDT02,ETRS89,29,2015,59.92
0021-4,10323857,MDT02,ETRS89,29,2015,95.58
0022-1,10323821,MDT02,ETRS89,29,2015,120.1
0022-2,10323761,MDT02,ETRS89,29,2015,117.06
0022-3,10323864,MDT02,ETRS89,29,2015,122.18
0022-4,10323932,MDT02,ETRS89,29,"2015, 2016",124.07
0023-1,10323979,MDT02,ETRS89,29,"2015, 2016",123.54
0023-2,10323969,MDT02,ETRS89,29,"2015, 2016",124.79
0023-3,10323963,MDT02,ETRS89,29,"2015, 2016",116.58
0023-4,10323959,MDT02,ETRS89,29,"2015, 2016",115.44
