filename,id,datum,utm_zone,date,size
PNOA-MDT25-ETRS89-HU29-0152-LID.TIF,0152,ETRS89,29,2010,2.81
PNOA-MDT25-ETRS89-HU29-0153-LID.TIF,0153,ETRS89,29,"2009, 2010",3.34
PNOA-MDT25-ETRS89-HU29-0154-LID.TIF,0154,ETRS89,29,"2009, 2010",3.28
PNOA-MDT25-ETRS89-HU29-0155-LID.TIF,0155,ETRS89,29,2009,3.34
PNOA-MDT25-ETRS89-HU29-0156-LID.TIF,0156,ETRS89,29,2009,3.4
PNOA-MDT25-ETRS89-HU29-0157-LID.TIF,0157,ETRS89,29,"2009, 2010",3.43
PNOA-MDT25-ETRS89-HU29-0158-LID.TIF,0158,ETRS89,29,"2009, 2010",3.35
PNOA-MDT25-ETRS89-HU29-0159-LID.TIF,0159,ETRS89,29,2010,3.39
PNOA-MDT25-ETRS89-HU29-0160-LID.TIF,0160,ETRS89,29,2010,3.23
PNOA-MDT25-ETRS89-HU29-0184-LID.TIF,0184,ETRS89,29,2010,0.28
PNOA-MDT25-ETRS89-HU29-0185-LID.TIF,0185,ETRS89,29,"2009, 2010",2.74
PNOA-MDT25-ETRS89-HU29-0186-LID.TIF,0186,ETRS89,29,"2009, 2010",3.38
PNOA-MDT25-ETRS89-HU29-0187-LID.TIF,0187,ETRS89,29,2009,3.29
PNOA-MDT25-ETRS89-HU29-0188-LID.TIF,0188,ETRS89,29,2009,3.4
PNOA-MDT25-ETRS89-HU29-0189-LID.TIF,0189,ETRS89,29,2009,3.44
PNOA-MDT25-ETRS89-HU29-0190-LID.TIF,0190,ETRS89,29,"2009, 2010",3.49
PNOA-MDT25-ETRS89-HU29-0191-LID.TIF,0191,ETRS89,29,"2009, 2010",3.49
PNOA-MDT25-ETRS89-HU29-0192-LID.TIF,0192,ETRS89,29,2010,3.39
PNOA-MDT25-ETRS89-HU29-0193-LID.TIF,0193,ETRS89,29,2010,3.18
PNOA-MDT25-ETRS89-HU29-0222-LID.TIF,0222,ETRS89,29,2010,0.09
