id,filename,name,datum,utm_zone,date,size
9072660,PNOA_MDT25_ETRS89_HU29_0001_LID.asc,0001,ETRS89,29,2010,3.19
9072661,PNOA_MDT25_ETRS89_HU29_0002_LID.asc,0002,ETRS89,29,"2010, 2009",3.25
9072662,PNOA_MDT25_ETRS89_HU29_0003_LID.asc,0003,ETRS89,29,2009,3.65
9072663,PNOA_MDT25_ETRS89_HU29_0006_LID.asc,0006,ETRS89,29,2010,3.44
9072664,PNOA_MDT25_ETRS89_HU29_0007_LID.asc,0007,ETRS89,29,2010,5.659999999999999
9072665,PNOA_MDT25_ETRS89_HU29_0008_LID.asc,0008,ETRS89,29,"2010, 2009",6.24
9072666,PNOA_MDT25_ETRS89_HU29_0009_LID.asc,0009,ETRS89,29,2009,5.09
9072667,PNOA_MDT25_ETRS89_HU29_0010_LID.asc,0010,ETRS89,29,"2009, 2012",4.34
9072668,PNOA_MDT25_ETRS89_HU29_0011_LID.asc,0011,ETRS89,29,2012,4.46
9072669,PNOA_MDT25_ETRS89_HU29_0012_LID.asc,0012,ETRS89,29,2012,4.07
9072670,PNOA_MDT25_ETRS89_HU29_0013_LID.asc,0013,ETRS89,29,2012,3.94
9072671,PNOA_MDT25_ETRS89_HU29_0020_LID.asc,0020,ETRS89,29,2010,2.74
9072672,PNOA_MDT25_ETRS89_HU29_0021_LID.asc,0021,ETRS89,29,2010,3.62
9072673,PNOA_MDT25_ETRS89_HU29_0022_LID.asc,0022,ETRS89,29,"2010, 2009",6.13
9072674,PNOA_MDT25_ETRS89_HU29_0023_LID.asc,0023,ETRS89,29,"2010, 2009",6.31
9072675,PNOA_MDT25_ETRS89_HU29_0024_LID.asc,0024,ETRS89,29,"2009, 2012",6.319999999999999
9072676,PNOA_MDT25_ETRS89_HU29_0025_LID.asc,0025,ETRS89,29,"2009, 2012",6.33
9072677,PNOA_MDT25_ETRS89_HU29_0026_LID.asc,0026,ETRS89,29,2012,6.45
9072678,PNOA_MDT25_ETRS89_HU29_0027_LID.asc,0027,ETRS89,29,2012,6.51
9072679,PNOA_MDT25_ETRS89_HU29_0028_LID.asc,0028,ETRS89,29,2012,6.470000000000001
9072680,PNOA_MDT25_ETRS89_HU29_0043_LID.asc,0043,ETRS89,29,2010,3.8099999999999996
9072681,PNOA_MDT25_ETRS89_HU29_0044_LID.asc,0044,ETRS89,29,2010,5.33
9072682,PNOA_MDT25_ETRS89_HU29_0045_LID.asc,0045,ETRS89,29,2010,5.9
9072683,PNOA_MDT25_ETRS89_HU29_0046_LID.asc,0046,ETRS89,29,"2010, 2009",6.25
9072684,PNOA_MDT25_ETRS89_HU29_0047_LID.asc,0047,ETRS89,29,"2010, 2009",6.319999999999999
9072685,PNOA_MDT25_ETRS89_HU29_0048_LID.asc,0048,ETRS89,29,2009,6.37
9072686,PNOA_MDT25_ETRS89_HU29_0049_LID.asc,0049,ETRS89,29,"2009, 2012",6.42
9072687,PNOA_MDT25_ETRS89_HU29_0050_LID.asc,0050,ETRS89,29,"2009, 2012",6.59
9072688,PNOA_MDT25_ETRS89_HU29_0051_LID.asc,0051,ETRS89,29,2012,6.6499999999999995
9072689,PNOA_MDT25_ETRS89_HU29_0052_LID.asc,0052,ETRS89,29,2012,6.75
9072690,PNOA_MDT25_ETRS89_HU29_0067_LID.asc,0067,ETRS89,29,2010,1.45
9072691,PNOA_MDT25_ETRS89_HU29_0068_LID.asc,0068,ETRS89,29,2010,5.970000000000001
9072692,PNOA_MDT25_ETRS89_HU29_0069_LID.asc,0069,ETRS89,29,2010,6.18
9072693,PNOA_MDT25_ETRS89_HU29_0070_LID.asc,0070,ETRS89,29,2010,6.23
9072694,PNOA_MDT25_ETRS89_HU29_0071_LID.asc,0071,ETRS89,29,"2010, 2009",6.28
9072695,PNOA_MDT25_ETRS89_HU29_0072_LID.asc,0072,ETRS89,29,2009,6.33
9072696,PNOA_MDT25_ETRS89_HU29_0073_LID.asc,0073,ETRS89,29,2009,6.39
9072697,PNOA_MDT25_ETRS89_HU29_0074_LID.asc,0074,ETRS89,29,"2009, 2012",6.46
9072698,PNOA_MDT25_ETRS89_HU29_0075_LID.asc,0075,ETRS89,29,"2010, 2009, 2012",6.81
9072699,PNOA_MDT25_ETRS89_HU29_0076_LID.asc,0076,ETRS89,29,"2010, 2012",7.17
9072700,PNOA_MDT25_ETRS89_HU29_0077_LID.asc,0077,ETRS89,29,"2010, 2012",7.24
9072701,PNOA_MDT25_ETRS89_HU29_0092_LID.asc,0092,ETRS89,29,2010,1.33
9072702,PNOA_MDT25_ETRS89_HU29_0093_LID.asc,0093,ETRS89,29,2010,5.67
9072703,PNOA_MDT25_ETRS89_HU29_0094_LID.asc,0094,ETRS89,29,2010,6.159999999999999
9072704,PNOA_MDT25_ETRS89_HU29_0095_LID.asc,0095,ETRS89,29,2010,6.25
9072705,PNOA_MDT25_ETRS89_HU29_0096_LID.asc,0096,ETRS89,29,"2010, 2009",6.31
9072706,PNOA_MDT25_ETRS89_HU29_0097_LID.asc,0097,ETRS89,29,2009,6.359999999999999
9072707,PNOA_MDT25_ETRS89_HU29_0098_LID.asc,0098,ETRS89,29,2009,6.41
9072708,PNOA_MDT25_ETRS89_HU29_0099_LID.asc,0099,ETRS89,29,"2010, 2009, 2012",6.57
9072709,PNOA_MDT25_ETRS89_HU29_0100_LID.asc,0100,ETRS89,29,"2010, 2009, 2012",7.14
9072710,PNOA_MDT25_ETRS89_HU29_0101_LID.asc,0101,ETRS89,29,"2010, 2012",7.359999999999999
9072711,PNOA_MDT25_ETRS89_HU29_0102_LID.asc,0102,ETRS89,29,"2010, 2012",7.46
9072712,PNOA_MDT25_ETRS89_HU29_0119_LID.asc,0119,ETRS89,29,2010,3.9099999999999997
9072713,PNOA_MDT25_ETRS89_HU29_0120_LID.asc,0120,ETRS89,29,2010,5.91
9072714,PNOA_MDT25_ETRS89_HU29_0121_LID.asc,0121,ETRS89,29,2010,6.22
9072715,PNOA_MDT25_ETRS89_HU29_0122_LID.asc,0122,ETRS89,29,"2010, 2009",6.31
9072716,PNOA_MDT25_ETRS89_HU29_0123_LID.asc,0123,ETRS89,29,2009,6.37
9072717,PNOA_MDT25_ETRS89_HU29_0124_LID.asc,0124,ETRS89,29,2009,6.49
9072718,PNOA_MDT25_ETRS89_HU29_0125_LID.asc,0125,ETRS89,29,"2010, 2009",6.92
9072719,PNOA_MDT25_ETRS89_HU29_0126_LID.asc,0126,ETRS89,29,"2010, 2009, 2012",6.819999999999999
9072720,PNOA_MDT25_ETRS89_HU29_0127_LID.asc,0127,ETRS89,29,"2010, 2012",7.18
9072721,PNOA_MDT25_ETRS89_HU29_0128_LID.asc,0128,ETRS89,29,2010,7.46
9072722,PNOA_MDT25_ETRS89_HU29_0151_LID.asc,0151,ETRS89,29,2010,2.88
9072723,PNOA_MDT25_ETRS89_HU29_0152_LID.asc,0152,ETRS89,29,2010,5.25
9072724,PNOA_MDT25_ETRS89_HU29_0153_LID.asc,0153,ETRS89,29,"2010, 2009",6.2700000000000005
9072725,PNOA_MDT25_ETRS89_HU29_0154_LID.asc,0154,ETRS89,29,"2010, 2009",6.34
9072726,PNOA_MDT25_ETRS89_HU29_0155_LID.asc,0155,ETRS89,29,2009,6.39
9072727,PNOA_MDT25_ETRS89_HU29_0156_LID.asc,0156,ETRS89,29,2009,6.5
9072728,PNOA_MDT25_ETRS89_HU29_0157_LID.asc,0157,ETRS89,29,"2010, 2009",6.859999999999999
9072729,PNOA_MDT25_ETRS89_HU29_0158_LID.asc,0158,ETRS89,29,"2010, 2009",6.55
9072730,PNOA_MDT25_ETRS89_HU29_0159_LID.asc,0159,ETRS89,29,2010,7.01
9072731,PNOA_MDT25_ETRS89_HU29_0160_LID.asc,0160,ETRS89,29,2010,6.98
9072732,PNOA_MDT25_ETRS89_HU29_0184_LID.asc,0184,ETRS89,29,2010,3.01
9072733,PNOA_MDT25_ETRS89_HU29_0185_LID.asc,0185,ETRS89,29,"2010, 2009",5.109999999999999
9072734,PNOA_MDT25_ETRS89_HU29_0186_LID.asc,0186,ETRS89,29,"2010, 2009",6.3
9072735,PNOA_MDT25_ETRS89_HU29_0187_LID.asc,0187,ETRS89,29,2009,6.33
9072736,PNOA_MDT25_ETRS89_HU29_0188_LID.asc,0188,ETRS89,29,2009,6.430000000000001
9072737,PNOA_MDT25_ETRS89_HU29_0189_LID.asc,0189,ETRS89,29,2009,6.49
9072738,PNOA_MDT25_ETRS89_HU29_0190_LID.asc,0190,ETRS89,29,"2010, 2009",6.72
9072739,PNOA_MDT25_ETRS89_HU29_0191_LID.asc,0191,ETRS89,29,"2010, 2009",6.96
9072740,PNOA_MDT25_ETRS89_HU29_0192_LID.asc,0192,ETRS89,29,2010,7.39
9072741,PNOA_MDT25_ETRS89_HU29_0193_LID.asc,0193,ETRS89,29,2010,6.71
9072742,PNOA_MDT25_ETRS89_HU29_0222_LID.asc,0222,ETRS89,29,2010,2.8299999999999996
9072743,PNOA_MDT25_ETRS89_HU29_0223_LID.asc,0223,ETRS89,29,"2010, 2009",4.99
9072744,PNOA_MDT25_ETRS89_HU29_0224_LID.asc,0224,ETRS89,29,2009,6.28
9072745,PNOA_MDT25_ETRS89_HU29_0225_LID.asc,0225,ETRS89,29,2009,6.319999999999999
9072746,PNOA_MDT25_ETRS89_HU29_0226_LID.asc,0226,ETRS89,29,2009,6.45
9072747,PNOA_MDT25_ETRS89_HU29_0227_LID.asc,0227,ETRS89,29,2009,7.05
9072748,PNOA_MDT25_ETRS89_HU29_0228_LID.asc,0228,ETRS89,29,"2010, 2009",6.99
9072749,PNOA_MDT25_ETRS89_HU29_0229_LID.asc,0229,ETRS89,29,"2010, 2009",7.359999999999999
9072750,PNOA_MDT25_ETRS89_HU29_0230_LID.asc,0230,ETRS89,29,2010,7.37
9072751,PNOA_MDT25_ETRS89_HU29_0231_LID.asc,0231,ETRS89,29,2010,6.71
9072752,PNOA_MDT25_ETRS89_HU29_0260_LID.asc,0260,ETRS89,29,"2010, 2009",3.11
9072753,PNOA_MDT25_ETRS89_HU29_0261_LID.asc,0261,ETRS89,29,"2010, 2009",5.7
9072754,PNOA_MDT25_ETRS89_HU29_0262_LID.asc,0262,ETRS89,29,2009,5.1899999999999995
9072755,PNOA_MDT25_ETRS89_HU29_0263_LID.asc,0263,ETRS89,29,2009,6.39
9072756,PNOA_MDT25_ETRS89_HU29_0264_LID.asc,0264,ETRS89,29,2009,6.44
9072757,PNOA_MDT25_ETRS89_HU29_0265_LID.asc,0265,ETRS89,29,2009,6.81
9072758,PNOA_MDT25_ETRS89_HU29_0266_LID.asc,0266,ETRS89,29,"2010, 2009",7.119999999999999
9072759,PNOA_MDT25_ETRS89_HU29_0267_LID.asc,0267,ETRS89,29,2010,7.22
9072760,PNOA_MDT25_ETRS89_HU29_0268_LID.asc,0268,ETRS89,29,2010,6.87
9072761,PNOA_MDT25_ETRS89_HU29_0269_LID.asc,0269,ETRS89,29,2010,6.7
9072762,PNOA_MDT25_ETRS89_HU29_0298_LID.asc,0298,ETRS89,29,2009,3.1
9072763,PNOA_MDT25_ETRS89_HU29_0299_LID.asc,0299,ETRS89,29,2009,4.46
9072765,PNOA_MDT25_ETRS89_HU29_0300B_LID.asc,0300B,ETRS89,29,2009,4.04
9072764,PNOA_MDT25_ETRS89_HU29_0300_LID.asc,0300,ETRS89,29,2009,4.33
9072766,PNOA_MDT25_ETRS89_HU29_0301_LID.asc,0301,ETRS89,29,2009,6.57
9072768,PNOA_MDT25_ETRS89_HU29_0302B_LID.asc,0302B,ETRS89,29,2009,4.319999999999999
9072767,PNOA_MDT25_ETRS89_HU29_0302_LID.asc,0302,ETRS89,29,2009,6.55
9072770,PNOA_MDT25_ETRS89_HU29_0303B_LID.asc,0303B,ETRS89,29,2009,4.44
9072769,PNOA_MDT25_ETRS89_HU29_0303_LID.asc,0303,ETRS89,29,2009,6.46
9072771,PNOA_MDT25_ETRS89_HU29_0304_LID.asc,0304,ETRS89,29,"2010, 2009",5.42
9072772,PNOA_MDT25_ETRS89_HU29_0305_LID.asc,0305,ETRS89,29,2010,5.96
9072773,PNOA_MDT25_ETRS89_HU29_0306_LID.asc,0306,ETRS89,29,2010,6.7700000000000005
9072774,PNOA_MDT25_ETRS89_HU29_0307_LID.asc,0307,ETRS89,29,2010,6.75
9072775,PNOA_MDT25_ETRS89_HU29_0336_LID.asc,0336,ETRS89,29,2009,4.45
9072776,PNOA_MDT25_ETRS89_HU29_0337_LID.asc,0337,ETRS89,29,"2014, 2010",4.73
9072777,PNOA_MDT25_ETRS89_HU29_0338_LID.asc,0338,ETRS89,29,"2014, 2010",6.659999999999999
9072778,PNOA_MDT25_ETRS89_HU29_0339_LID.asc,0339,ETRS89,29,"2014, 2010",6.71
9072779,PNOA_MDT25_ETRS89_HU29_0367_LID.asc,0367,ETRS89,29,2014,4.87
9072780,PNOA_MDT25_ETRS89_HU29_0368_LID.asc,0368,ETRS89,29,"2014, 2010",6.59
9072781,PNOA_MDT25_ETRS89_HU29_0395_LID.asc,0395,ETRS89,29,2014,5.53
9072782,PNOA_MDT25_ETRS89_HU29_0396_LID.asc,0396,ETRS89,29,2014,6.75
9072783,PNOA_MDT25_ETRS89_HU29_0422_LID.asc,0422,ETRS89,29,2014,5
9072784,PNOA_MDT25_ETRS89_HU29_0423_LID.asc,0423,ETRS89,29,2014,6.25
9072785,PNOA_MDT25_ETRS89_HU29_0424_LID.asc,0424,ETRS89,29,2014,6.6899999999999995
9072786,PNOA_MDT25_ETRS89_HU29_0448B_LID.asc,0448B,ETRS89,29,2014,4.4
9072787,PNOA_MDT25_ETRS89_HU29_0449_LID.asc,0449,ETRS89,29,2014,6.2700000000000005
9072788,PNOA_MDT25_ETRS89_HU29_0450_LID.asc,0450,ETRS89,29,2014,6.75
9072789,PNOA_MDT25_ETRS89_HU29_0451_LID.asc,0451,ETRS89,29,2014,6.7700000000000005
9072790,PNOA_MDT25_ETRS89_HU29_0474_LID.asc,0474,ETRS89,29,2014,4.4
9072791,PNOA_MDT25_ETRS89_HU29_0475_LID.asc,0475,ETRS89,29,2014,6.6499999999999995
9072792,PNOA_MDT25_ETRS89_HU29_0476_LID.asc,0476,ETRS89,29,2014,6.75
9072793,PNOA_MDT25_ETRS89_HU29_0477_LID.asc,0477,ETRS89,29,2014,6.819999999999999
9072794,PNOA_MDT25_ETRS89_HU29_0500_LID.asc,0500,ETRS89,29,2014,6.55
9072795,PNOA_MDT25_ETRS89_HU29_0501_LID.asc,0501,ETRS89,29,2014,6.7700000000000005
9072796,PNOA_MDT25_ETRS89_HU29_0502_LID.asc,0502,ETRS89,29,2014,6.859999999999999
9072797,PNOA_MDT25_ETRS89_HU29_0525_LID.asc,0525,ETRS89,29,2014,6.55
9072798,PNOA_MDT25_ETRS89_HU29_0526_LID.asc,0526,ETRS89,29,"2014, 2010",6.94
9072799,PNOA_MDT25_ETRS89_HU29_0527_LID.asc,0527,ETRS89,29,"2014, 2010",7.109999999999999
9072800,PNOA_MDT25_ETRS89_HU29_0550_LID.asc,0550,ETRS89,29,"2014, 2010",6.71
9072801,PNOA_MDT25_ETRS89_HU29_0551_LID.asc,0551,ETRS89,29,"2014, 2010",7.02
9072802,PNOA_MDT25_ETRS89_HU29_0552_LID.asc,0552,ETRS89,29,"2014, 2010",6.930000000000001
9072803,PNOA_MDT25_ETRS89_HU29_0572_LID.asc,0572,ETRS89,29,"2014, 2010",5.6499999999999995
9072804,PNOA_MDT25_ETRS89_HU29_0573_LID.asc,0573,ETRS89,29,"2014, 2010",6.88
9072805,PNOA_MDT25_ETRS89_HU29_0574_LID.asc,0574,ETRS89,29,2010,6.85
9072806,PNOA_MDT25_ETRS89_HU29_0575_LID.asc,0575,ETRS89,29,"2014, 2010",6.99
9072807,PNOA_MDT25_ETRS89_HU29_0595_LID.asc,0595,ETRS89,29,2010,5.33
9072808,PNOA_MDT25_ETRS89_HU29_0596_LID.asc,0596,ETRS89,29,2010,6.79
9072809,PNOA_MDT25_ETRS89_HU29_0597_LID.asc,0597,ETRS89,29,2010,6.83
9072810,PNOA_MDT25_ETRS89_HU29_0598_LID.asc,0598,ETRS89,29,2010,6.95
9072811,PNOA_MDT25_ETRS89_HU29_0620_LID.asc,0620,ETRS89,29,2010,5.21
9072812,PNOA_MDT25_ETRS89_HU29_0621_LID.asc,0621,ETRS89,29,2010,6.8
9072813,PNOA_MDT25_ETRS89_HU29_0622_LID.asc,0622,ETRS89,29,2010,6.85
9072814,PNOA_MDT25_ETRS89_HU29_0623_LID.asc,0623,ETRS89,29,2010,6.91
9072815,PNOA_MDT25_ETRS89_HU29_0648_LID.asc,0648,ETRS89,29,2010,5.79
9072816,PNOA_MDT25_ETRS89_HU29_0649_LID.asc,0649,ETRS89,29,2010,6.81
9072817,PNOA_MDT25_ETRS89_HU29_0650_LID.asc,0650,ETRS89,29,2010,6.87
9072818,PNOA_MDT25_ETRS89_HU29_0651_LID.asc,0651,ETRS89,29,2010,6.930000000000001
9072819,PNOA_MDT25_ETRS89_HU29_0674_LID.asc,0674,ETRS89,29,2010,4.819999999999999
9072820,PNOA_MDT25_ETRS89_HU29_0675_LID.asc,0675,ETRS89,29,2010,6.6899999999999995
9072821,PNOA_MDT25_ETRS89_HU29_0676_LID.asc,0676,ETRS89,29,2010,6.7700000000000005
9072822,PNOA_MDT25_ETRS89_HU29_0677_LID.asc,0677,ETRS89,29,2010,6.819999999999999
9072823,PNOA_MDT25_ETRS89_HU29_0678_LID.asc,0678,ETRS89,29,2010,6.87
9072824,PNOA_MDT25_ETRS89_HU29_0679_LID.asc,0679,ETRS89,29,2010,6.94
9072825,PNOA_MDT25_ETRS89_HU29_0701_LID.asc,0701,ETRS89,29,2010,6.119999999999999
9072826,PNOA_MDT25_ETRS89_HU29_0702_LID.asc,0702,ETRS89,29,2010,6.79
