series,name,id,page
MDT05,PNOA-MDT05-ETRS89-HU29-0191-LID.asc,9071215,2
MDT05,PNOA-MDT05-ETRS89-HU29-0192-LID.asc,9071216,2
MDT05,PNOA-MDT05-ETRS89-HU29-0193-LID.asc,9071217,2
MDT05,PNOA-MDT05-ETRS89-HU29-0222-LID.asc,9071218,2
MDT05,PNOA-MDT05-ETRS89-HU29-0223-LID.asc,9071219,2
MDT05,PNOA-MDT05-ETRS89-HU29-0224-LID.asc,9071220,2
MDT05,PNOA-MDT05-ETRS89-HU29-0225-LID.asc,9071221,2
MDT05,PNOA-MDT05-ETRS89-HU29-0226-LID.asc,9071222,2
MDT05,PNOA-MDT05-ETRS89-HU29-0227-LID.asc,9071223,2
MDT05,PNOA-MDT05-ETRS89-HU29-0228-LID.asc,9071224,2
MDT05,PNOA-MDT05-ETRS89-HU29-0229-LID.asc,9071225,2
MDT05,PNOA-MDT05-ETRS89-HU29-0230-LID.asc,9071226,2
MDT05,PNOA-MDT05-ETRS89-HU29-0231-LID.asc,9071227,2
MDT05,PNOA-MDT05-ETRS89-HU29-0260-LID.asc,9071228,2
MDT05,PNOA-MDT05-ETRS89-HU29-0261-LID.asc,9071229,2
MDT05,PNOA-MDT05-ETRS89-HU29-0262-LID.asc,9071230,2
MDT05,PNOA-MDT05-ETRS89-HU29-0263-LID.asc,9071231,2
MDT05,PNOA-MDT05-ETRS89-HU29-0264-LID.asc,9071232,2
MDT05,PNOA-MDT05-ETRS89-HU29-0265-LID.asc,9071233,2
MDT05,PNOA-MDT05-ETRS89-HU29-0266-LID.asc,9071234,2
MDT05,PNOA-MDT05-ETRS89-HU29-0267-LID.asc,9071235,2
MDT05,PNOA-MDT05-ETRS89-HU29-0268-LID.asc,9071236,3
MDT05,PNOA-MDT05-ETRS89-HU29-0269-LID.asc,9071237,3
MDT05,PNOA-MDT05-ETRS89-HU29-0298-LID.asc,9071238,3
MDT05,PNOA-MDT05-ETRS89-HU29-0299-LID.asc,9071239,3
MDT05,PNOA-MDT05-ETRS89-HU29-0300B-LID.asc,9071241,3
MDT05,PNOA-MDT05-ETRS89-HU29-0300-LID.asc,9071240,3
MDT05,PNOA-MDT05-ETRS89-HU29-0301-LID.asc,9071242,3
MDT05,PNOA-MDT05-ETRS89-HU29-0302B-LID.asc,9071244,3
MDT05,PNOA-MDT05-ETRS89-HU29-0302-LID.asc,9071243,3
MDT05,PNOA-MDT05-ETRS89-HU29-0303B-LID.asc,9071246,3
MDT05,PNOA-MDT05-ETRS89-HU29-0303-LID.asc,9071245,3
MDT05,PNOA-MDT05-ETRS89-HU29-0304-LID.asc,9071247,3
MDT05,PNOA-MDT05-ETRS89-HU29-0305-LID.asc,9071248,3
MDT05,PNOA-MDT05-ETRS89-HU29-0306-LID.asc,9071249,3
MDT05,PNOA-MDT05-ETRS89-HU29-0307-LID.asc,9071250,3
MDT05,PNOA-MDT05-ETRS89-HU29-0336-LID.asc,9071251,3
MDT05,PNOA-MDT05-ETRS89-HU29-0337-LID.asc,9071252,3
MDT05,PNOA-MDT05-ETRS89-HU29-0338-LID.asc,9071253,3
MDT05,PNOA-MDT05-ETRS89-HU29-0339-LID.asc,9071254,3
MDT05,PNOA-MDT05-ETRS89-HU29-0367-LID.asc,9071255,3
MDT05,PNOA-MDT05-ETRS89-HU29-0368-LID.asc,9071256,3
MDT05,PNOA-MDT05-ETRS89-HU29-0395-LID.asc,9071257,3
MDT05,PNOA-MDT05-ETRS89-HU29-0396-LID.asc,9071258,3
MDT05,PNOA-MDT05-ETRS89-HU29-0422-LID.asc,9071259,3
MDT05,PNOA-MDT05-ETRS89-HU29-0423-LID.asc,9071260,3
MDT05,PNOA-MDT05-ETRS89-HU29-0424-LID.asc,9071261,3
MDT05,PNOA-MDT05-ETRS89-HU29-0448B-LID.asc,9071262,3
MDT05,PNOA-MDT05-ETRS89-HU29-0449-LID.asc,9071263,3
MDT05,PNOA-MDT05-ETRS89-HU29-0450-LID.asc,9071264,3
MDT05,PNOA-MDT05-ETRS89-HU29-0451-LID.asc,9071265,3
MDT05,PNOA-MDT05-ETRS89-HU29-0474-LID.asc,9071266,3
MDT05,PNOA-MDT05-ETRS89-HU29-0475-LID.asc,9071267,3
MDT05,PNOA-MDT05-ETRS89-HU29-0476-LID.asc,9071268,3
MDT05,PNOA-MDT05-ETRS89-HU29-0477-LID.asc,9071269,3
MDT05,PNOA-MDT05-ETRS89-HU29-0500-LID.asc,9071270,3
MDT05,PNOA-MDT05-ETRS89-HU29-0501-LID.asc,9071271,3
MDT05,PNOA-MDT05-ETRS89-HU29-0502-LID.asc,9071272,3
MDT05,PNOA-MDT05-ETRS89-HU29-0525-LID.asc,9071273,3
MDT05,PNOA-MDT05-ETRS89-HU29-0526-LID.asc,9071274,3
MDT05,PNOA-MDT05-ETRS89-HU29-0527-LID.asc,9071275,3
MDT05,PNOA-MDT05-ETRS89-HU29-0550-LID.asc,9071276,3
MDT05,PNOA-MDT05-ETRS89-HU29-0551-LID.asc,9071277,3
MDT05,PNOA-MDT05-ETRS89-HU29-0552-LID.asc,9071278,3
MDT05,PNOA-MDT05-ETRS89-HU29-0572-LID.asc,9071279,3
MDT05,PNOA-MDT05-ETRS89-HU29-0573-LID.asc,9071280,3
MDT05,PNOA-MDT05-ETRS89-HU29-0574-LID.asc,9071281,3
MDT05,PNOA-MDT05-ETRS89-HU29-0575-LID.asc,9071282,3
MDT05,PNOA-MDT05-ETRS89-HU29-0595-LID.asc,9071283,3
MDT05,PNOA-MDT05-ETRS89-HU29-0596-LID.asc,9071284,3
MDT05,PNOA-MDT05-ETRS89-HU29-0597-LID.asc,9071285,3
MDT05,PNOA-MDT05-ETRS89-HU29-0598-LID.asc,9071286,4
MDT05,PNOA-MDT05-ETRS89-HU29-0620-LID.asc,9071287,4
MDT05,PNOA-MDT05-ETRS89-HU29-0621-LID.asc,9071288,4
MDT05,PNOA-MDT05-ETRS89-HU29-0622-LID.asc,9071289,4
MDT05,PNOA-MDT05-ETRS89-HU29-0623-LID.asc,9071290,4
MDT05,PNOA-MDT05-ETRS89-HU29-0648-LID.asc,9071291,4
MDT05,PNOA-MDT05-ETRS89-HU29-0649-LID.asc,9071292,4
MDT05,PNOA-MDT05-ETRS89-HU29-0650-LID.asc,9071293,4
MDT05,PNOA-MDT05-ETRS89-HU29-0651-LID.asc,9071294,4
MDT05,PNOA-MDT05-ETRS89-HU29-0674-LID.asc,9071295,4
MDT05,PNOA-MDT05-ETRS89-HU29-0675-LID.asc,9071296,4
MDT05,PNOA-MDT05-ETRS89-HU29-0676-LID.asc,9071297,4
MDT05,PNOA-MDT05-ETRS89-HU29-0677-LID.asc,9071298,4
MDT05,PNOA-MDT05-ETRS89-HU29-0678-LID.asc,9071299,4
MDT05,PNOA-MDT05-ETRS89-HU29-0679-LID.asc,9071300,4
MDT05,PNOA-MDT05-ETRS89-HU29-0701-LID.asc,9071301,4
MDT05,PNOA-MDT05-ETRS89-HU29-0702-LID.asc,9071302,4
MDT05,PNOA-MDT05-ETRS89-HU29-0703-LID.asc,9071303,4
MDT05,PNOA-MDT05-ETRS89-HU29-0704-LID.asc,9071304,4
MDT05,PNOA-MDT05-ETRS89-HU29-0705-LID.asc,9071305,4
MDT05,PNOA-MDT05-ETRS89-HU29-0726-LID.asc,9071306,4
MDT05,PNOA-MDT05-ETRS89-HU29-0727-LID.asc,9071307,4
MDT05,PNOA-MDT05-ETRS89-HU29-0728-LID.asc,9071308,4
MDT05,PNOA-MDT05-ETRS89-HU29-0729-LID.asc,9071309,4
MDT05,PNOA-MDT05-ETRS89-HU29-0730-LID.asc,9071310,4
MDT05,PNOA-MDT05-ETRS89-HU29-0750-LID.asc,9071311,4
MDT05,PNOA-MDT05-ETRS89-HU29-0751-LID.asc,9071312,4
MDT05,PNOA-MDT05-ETRS89-HU29-0752-LID.asc,9071313,4
MDT05,PNOA-MDT05-ETRS89-HU29-0753-LID.asc,9071314,4
MDT05,PNOA-MDT05-ETRS89-HU29-0775-LID.asc,9071315,4
MDT05,PNOA-MDT05-ETRS89-HU29-0776-LID.asc,9071316,4
MDT05,PNOA-MDT05-ETRS89-HU29-0777-LID.asc,9071317,4
MDT05,PNOA-MDT05-ETRS89-HU29-0778-LID.asc,9071318,4
MDT05,PNOA-MDT05-ETRS89-HU29-0800-LID.asc,9071319,4
MDT05,PNOA-MDT05-ETRS89-HU29-0801-LID.asc,9071320,4
MDT05,PNOA-MDT05-ETRS89-HU29-0802-LID.asc,9071321,4
MDT05,PNOA-MDT05-ETRS89-HU29-0803-LID.asc,9071322,4
MDT05,PNOA-MDT05-ETRS89-HU29-0804-LID.asc,9071323,4
MDT05,PNOA-MDT05-ETRS89-HU29-0826-LID.asc,9071324,4
MDT05,PNOA-MDT05-ETRS89-HU29-0827-LID.asc,9071325,4
MDT05,PNOA-MDT05-ETRS89-HU29-0828-LID.asc,9071326,4
MDT05,PNOA-MDT05-ETRS89-HU29-0829-LID.asc,9071327,4
MDT05,PNOA-MDT05-ETRS89-HU29-0830-LID.asc,9071328,4
MDT05,PNOA-MDT05-ETRS89-HU29-0851-LID.asc,9071329,4
MDT05,PNOA-MDT05-ETRS89-HU29-0852-LID.asc,9071330,4
MDT05,PNOA-MDT05-ETRS89-HU29-0853-LID.asc,9071331,4
MDT05,PNOA-MDT05-ETRS89-HU29-0854-LID.asc,9071332,4
MDT05,PNOA-MDT05-ETRS89-HU29-0855-LID.asc,9071333,4
MDT05,PNOA-MDT05-ETRS89-HU29-0873-LID.asc,9071334,4
MDT05,PNOA-MDT05-ETRS89-HU29-0874-LID.asc,9071335,4
MDT05,PNOA-MDT05-ETRS89-HU29-0875-LID.asc,9071336,5
MDT05,PNOA-MDT05-ETRS89-HU29-0876-LID.asc,9071337,5
MDT05,PNOA-MDT05-ETRS89-HU29-0877-LID.asc,9071338,5
MDT05,PNOA-MDT05-ETRS89-HU29-0895B-LID.asc,9071340,5
MDT05,PNOA-MDT05-ETRS89-HU29-0895-LID.asc,9071339,5
MDT05,PNOA-MDT05-ETRS89-HU29-0896-LID.asc,9071341,5
MDT05,PNOA-MDT05-ETRS89-HU29-0897-LID.asc,9071342,5
MDT05,PNOA-MDT05-ETRS89-HU29-0898-LID.asc,9071343,5
MDT05,PNOA-MDT05-ETRS89-HU29-0915-LID.asc,9071344,5
MDT05,PNOA-MDT05-ETRS89-HU29-0916-LID.asc,9071345,5
MDT05,PNOA-MDT05-ETRS89-HU29-0917-LID.asc,9071346,5
MDT05,PNOA-MDT05-ETRS89-HU29-0918-LID.asc,9071347,5
MDT05,PNOA-MDT05-ETRS89-HU29-0919-LID.asc,9071348,5
MDT05,PNOA-MDT05-ETRS89-HU29-0936-LID.asc,9071349,5
MDT05,PNOA-MDT05-ETRS89-HU29-0937-LID.asc,9071350,5
MDT05,PNOA-MDT05-ETRS89-HU29-0938-LID.asc,9071351,5
MDT05,PNOA-MDT05-ETRS89-HU29-0939-LID.asc,9071352,5
MDT05,PNOA-MDT05-ETRS89-HU29-0940-LID.asc,9071353,5
