A Coruña - Huso 29,COG,1.80,2011
A Coruña - Huso 30,COG,1.74,2011
Álava - Huso 30,COG,1.44,2012
Albacete - Huso 30,COG,4.11,2009
Alborán - Huso 30,COG,0.01,2002
Alicante/Alacant - Huso 30,COG,1.43,2009
Alicante/Alacant - Huso 31,COG,0.22,2009
Almería - Huso 30,COG,2.34,"2014, 2015"
Asturias - Huso 29,COG,1.32,2012
Asturias - Huso 30,COG,2.23,2012
Ávila - Huso 30,COG,2.65,"2010, 2015"
Badajoz - Huso 29,COG,2.99,2010
Badajoz - Huso 30,COG,4.99,2010
"Balears, Illes - Huso 30",COG,0.57,2014
"Balears, Illes - Huso 31",COG,0.57,2014
Barcelona - Huso 30,COG,1.99,"2008, 2009, 2010"
Barcelona - Huso 31,COG,1.96,"2008, 2009, 2010"
Burgos - Huso 30,COG,4.19,"2010, 2012"
Cáceres - Huso 29,COG,2.54,2010
Cáceres - Huso 30,COG,3.97,2010
Cádiz - Huso 29,COG,0.66,"2014, 2015"
Cádiz - Huso 30,COG,1.44,"2014, 2015"
Cantabria - Huso 30,COG,1.62,2012
Castellón - Huso 30,COG,1.82,2009
Castellón - Huso 31,COG,0.95,2009
Ceuta - Huso 30,COG,0.01,2014
Ciudad Real - Huso 30,COG,4.16,2009
Córdoba - Huso 30,COG,3.59,"2009, 2014"
Cuenca - Huso 30,COG,4.05,2009
España,COG,57.40,2009 - 2015
Girona - Huso 30,COG,1.51,"2008, 2009, 2010, "
Girona - Huso 31,COG,1.51,"2008, 2009, 2010, "
Granada - Huso 30,COG,3.85,"2014, 2015"
Guadalajara - Huso 30,COG,3.47,2009
Guipúzcoa - Huso 30,COG,0.74,2012
Huelva - Huso 29,COG,1.97,"2014, 2015"
Huelva - Huso 30,COG,2.06,"2014, 2015"
Huesca - Huso 30,COG,3.36,"2010, 2011, 2012"
Huesca - Huso 31,COG,1.96,"2010, 2011, 2012"
Jaén - Huso 30,COG,3.31,"2009, 2014"
La Rioja - Huso 30,COG,1.87,"2010, 2012"
Las Palmas - Huso 28,COG,0.47,2016
León - Huso 29,COG,2.52,"2010, 2012"
León - Huso 30,COG,3.83,"2010, 2012"
Lleida - Huso 30,COG,2.97,"2008, 2009, 2010, "
Lleida - Huso 31,COG,2.95,"2008, 2009, 2010, "
Lugo - Huso 29,COG,2.32,"2009, 2011"
Lugo - Huso 30,COG,2.29,"2009, 2011"
Madrid - Huso 30,COG,2.97,2010
Málaga - Huso 30,COG,2.21,"2014, 2015"
Melilla - Huso 30,COG,0.01,2014
Murcia - Huso 30,COG,3.06,2009
Navarra - Huso 30,COG,2.98,2012
Ourense - Huso 29,COG,1.69,2009
Ourense - Huso 30,COG,1.71,2009
Palencia - Huso 30,COG,2.36,"2010, 2012"
Pontevedra - Huso 29,COG,1.44,"2009, 2011"
Pontevedra - Huso 30,COG,1.38,"2009, 2011"
Salamanca - Huso 29,COG,1.46,2015
Salamanca - Huso 30,COG,2.36,2015
Santa Cruz de Tenerife - Huso 28,COG,0.39,2016
Segovia - Huso 30,COG,2.27,2010
Sevilla - Huso 29,COG,1.54,"2014, 2015"
Sevilla - Huso 30,COG,3.63,"2014, 2015"
Soria - Huso 30,COG,2.78,2010
Tarragona - Huso 30,COG,1.76,"2009, 2010, 2011"
Tarragona - Huso 31,COG,1.75,"2009, 2010, 2011"
Teruel - Huso 30,COG,4.14,2010
Teruel - Huso 31,COG,1.21,2010
Toledo - Huso 30,COG,3.66,2009
Valencia - Huso 30,COG,3.04,2009
Valladolid - Huso 30,COG,2.72,"2010, 2015"
Vizcaya - Huso 30,COG,0.75,2012
Zamora - Huso 29,COG,1.68,"2010, 2015"
Zamora - Huso 30,COG,2.37,"2010, 2015"
Zaragoza - Huso 30,COG,6.02,"2010, 2012"
Zaragoza - Huso 31,COG,1.69,"2010, 2012"
