filename,name,datum,utm_zone,date,size
PNOA-MDT05-ETRS89-HU29-0153-LID.TIF,0153,MDT05,29,"2009, 2010",83.24
PNOA-MDT05-ETRS89-HU29-0154-LID.TIF,0154,MDT05,29,"2009, 2010",81.6
PNOA-MDT05-ETRS89-HU29-0155-LID.TIF,0155,MDT05,29,2009,80.9
PNOA-MDT05-ETRS89-HU29-0156-LID.TIF,0156,MDT05,29,2009,84.53
PNOA-MDT05-ETRS89-HU29-0157-LID.TIF,0157,MDT05,29,"2009, 2010",87.8
PNOA-MDT05-ETRS89-HU29-0158-LID.TIF,0158,MDT05,29,"2009, 2010",80.9
PNOA-MDT05-ETRS89-HU29-0159-LID.TIF,0159,MDT05,29,2010,84.09
PNOA-MDT05-ETRS89-HU29-0160-LID.TIF,0160,MDT05,29,2010,77.32
PNOA-MDT05-ETRS89-HU29-0184-LID.TIF,0184,MDT05,29,2010,6.45
PNOA-MDT05-ETRS89-HU29-0185-LID.TIF,0185,MDT05,29,"2009, 2010",67.54
PNOA-MDT05-ETRS89-HU29-0186-LID.TIF,0186,MDT05,29,"2009, 2010",83.81
PNOA-MDT05-ETRS89-HU29-0187-LID.TIF,0187,MDT05,29,2009,82.2
PNOA-MDT05-ETRS89-HU29-0188-LID.TIF,0188,MDT05,29,2009,83.36
PNOA-MDT05-ETRS89-HU29-0189-LID.TIF,0189,MDT05,29,2009,85.8
PNOA-MDT05-ETRS89-HU29-0190-LID.TIF,0190,MDT05,29,"2009, 2010",87.45
PNOA-MDT05-ETRS89-HU29-0191-LID.TIF,0191,MDT05,29,"2009, 2010",88.32
PNOA-MDT05-ETRS89-HU29-0192-LID.TIF,0192,MDT05,29,2010,83.46
PNOA-MDT05-ETRS89-HU29-0193-LID.TIF,0193,MDT05,29,2010,73.69
PNOA-MDT05-ETRS89-HU29-0222-LID.TIF,0222,MDT05,29,2010,1.87
PNOA-MDT05-ETRS89-HU29-0223-LID.TIF,0223,MDT05,29,"2009, 2010",65.1
PNOA-MDT05-ETRS89-HU29-0224-LID.TIF,0224,MDT05,29,2009,84.47
PNOA-MDT05-ETRS89-HU29-0225-LID.TIF,0225,MDT05,29,2009,82.4
PNOA-MDT05-ETRS89-HU29-0226-LID.TIF,0226,MDT05,29,2009,81.4
PNOA-MDT05-ETRS89-HU29-0227-LID.TIF,0227,MDT05,29,2009,84.15
PNOA-MDT05-ETRS89-HU29-0228-LID.TIF,0228,MDT05,29,"2009, 2010",84
PNOA-MDT05-ETRS89-HU29-0229-LID.TIF,0229,MDT05,29,"2009, 2010",87
PNOA-MDT05-ETRS89-HU29-0230-LID.TIF,0230,MDT05,29,2010,84.85
PNOA-MDT05-ETRS89-HU29-0231-LID.TIF,0231,MDT05,29,2010,74.88
PNOA-MDT05-ETRS89-HU29-0260-LID.TIF,0260,MDT05,29,"2009, 2010",6.92
PNOA-MDT05-ETRS89-HU29-0261-LID.TIF,0261,MDT05,29,"2009, 2010",75.84
PNOA-MDT05-ETRS89-HU29-0262-LID.TIF,0262,MDT05,29,2009,48.34
PNOA-MDT05-ETRS89-HU29-0263-LID.TIF,0263,MDT05,29,2009,78.58
PNOA-MDT05-ETRS89-HU29-0264-LID.TIF,0264,MDT05,29,2009,72.36
PNOA-MDT05-ETRS89-HU29-0265-LID.TIF,0265,MDT05,29,2009,84.79
PNOA-MDT05-ETRS89-HU29-0266-LID.TIF,0266,MDT05,29,"2009, 2010",84.59
PNOA-MDT05-ETRS89-HU29-0267-LID.TIF,0267,MDT05,29,2010,81.92
PNOA-MDT05-ETRS89-HU29-0268-LID.TIF,0268,MDT05,29,2010,79.24
PNOA-MDT05-ETRS89-HU29-0269-LID.TIF,0269,MDT05,29,2010,75.37
PNOA-MDT05-ETRS89-HU29-0298-LID.TIF,0298,MDT05,29,2009,6.5
PNOA-MDT05-ETRS89-HU29-0299-LID.TIF,0299,MDT05,29,2009,26.48
PNOA-MDT05-ETRS89-HU29-0300B-LID.TIF,0300,MDT05,29,2009,0.44
