id,download_id,series,datum,utm_zone,date,size
0339,9072778,02107,ETRS89,29,"2010, 2014",3.29
0367,9072779,02107,ETRS89,29,2014,0.88
0368,9072780,02107,ETRS89,29,"2010, 2014",3.17
0395,9072781,02107,ETRS89,29,2014,1.76
0396,9072782,02107,ETRS89,29,2014,3.19
0422,9072783,02107,ETRS89,29,2014,1.11
0423,9072784,02107,ETRS89,29,2014,2.81
0424,9072785,02107,ETRS89,29,2014,3.14
0448,9072786,02107,ETRS89,29,2014,0.29
0449,9072787,02107,ETRS89,29,2014,2.84
0450,9072788,02107,ETRS89,29,2014,3.18
0451,9072789,02107,ETRS89,29,2014,3.18
0474,9072790,02107,ETRS89,29,2014,0.29
0475,9072791,02107,ETRS89,29,2014,3.26
0476,9072792,02107,ETRS89,29,2014,3.23
0477,9072793,02107,ETRS89,29,2014,3.19
0500,9072794,02107,ETRS89,29,2014,3.11
0501,9072795,02107,ETRS89,29,2014,3.12
0502,9072796,02107,ETRS89,29,2014,3.28
0525,9072797,02107,ETRS89,29,2014,3.06
0526,9072798,02107,ETRS89,29,"2010, 2014",3.38
0527,9072799,02107,ETRS89,29,"2010, 2014",3.45
0550,9072800,02107,ETRS89,29,"2010, 2014",3.26
0551,9072801,02107,ETRS89,29,"2010, 2014",3.54
0552,9072802,02107,ETRS89,29,"2010, 2014",3.61
0572,9072803,02107,ETRS89,29,"2010, 2014",1.91
0573,9072804,02107,ETRS89,29,"2010, 2014",3.51
0574,9072805,02107,ETRS89,29,2010,3.57
0575,9072806,02107,ETRS89,29,"2010, 2014",3.4
0595,9072807,02107,ETRS89,29,2010,1.52
0596,9072808,02107,ETRS89,29,2010,3.33
0597,9072809,02107,ETRS89,29,2010,3.37
0598,9072810,02107,ETRS89,29,2010,3.56
0620,9072811,02107,ETRS89,29,2010,1.33
0621,9072812,02107,ETRS89,29,2010,3.35
0622,9072813,02107,ETRS89,29,2010,3.37
0623,9072814,02107,ETRS89,29,2010,3.47
0648,9072815,02107,ETRS89,29,2010,2.07
0649,9072816,02107,ETRS89,29,2010,3.23
0650,9072817,02107,ETRS89,29,2010,3.34
0651,9072818,02107,ETRS89,29,2010,3.42
0674,9072819,02107,ETRS89,29,2010,0.88
0675,9072820,02107,ETRS89,29,2010,3.33
0676,9072821,02107,ETRS89,29,2010,3.36
0677,9072822,02107,ETRS89,29,2010,3.33
0678,9072823,02107,ETRS89,29,2010,3.38
0679,9072824,02107,ETRS89,29,2010,3.43
0701,9072825,02107,ETRS89,29,2010,2.57
0702,9072826,02107,ETRS89,29,2010,3.4
0703,9072827,02107,ETRS89,29,2010,3.39
0704,9072828,02107,ETRS89,29,2010,3.35
0705,9072829,02107,ETRS89,29,2010,3.43
0726,9072830,02107,ETRS89,29,2010,1.78
0727,9072831,02107,ETRS89,29,2010,3.34
0728,9072832,02107,ETRS89,29,2010,3.38
0729,9072833,02107,ETRS89,29,2010,3.41
0730,9072834,02107,ETRS89,29,2010,3.52
0750,9072835,02107,ETRS89,29,2010,2.52
0751,9072836,02107,ETRS89,29,2010,3.28
0752,9072837,02107,ETRS89,29,2010,3.38
0753,9072838,02107,ETRS89,29,2010,3.25
0775,9072839,02107,ETRS89,29,2010,2.41
0776,9072840,02107,ETRS89,29,2010,3.06
0777,9072841,02107,ETRS89,29,2010,3.33
0778,9072842,02107,ETRS89,29,2010,3.27
0800,9072843,02107,ETRS89,29,2010,0.95
0801,9072844,02107,ETRS89,29,2010,3.25
0802,9072845,02107,ETRS89,29,2010,3.28
0803,9072846,02107,ETRS89,29,2010,3.21
0804,9072847,02107,ETRS89,29,2010,3.57
0826,9072848,02107,ETRS89,29,2010,1.47
0827,9072849,02107,ETRS89,29,2010,3.45
0828,9072850,02107,ETRS89,29,2010,3.45
0829,9072851,02107,ETRS89,29,2010,3.39
0830,9072852,02107,ETRS89,29,2010,3.61
0851,9072853,02107,ETRS89,29,2010,1.49
0852,9072854,02107,ETRS89,29,2010,3.46
0853,9072855,02107,ETRS89,29,2010,3.63
0854,9072856,02107,ETRS89,29,2010,3.45
0855,9072857,02107,ETRS89,29,2010,3.55
0873,9072858,02107,ETRS89,29,2010,0.41
0874,9072859,02107,ETRS89,29,"2010, 2014",3.42
0875,9072860,02107,ETRS89,29,"2010, 2014",3.57
0876,9072861,02107,ETRS89,29,2010,3.54
0877,9072862,02107,ETRS89,29,2010,3.44
0895,9072864,02107,ETRS89,29,"2010, 2014, 2015",0.11
0895,9072863,02107,ETRS89,29,"2010, 2014",2.61
0896,9072865,02107,ETRS89,29,"2010, 2014",3.62
0897,9072866,02107,ETRS89,29,"2010, 2014",3.59
0898,9072867,02107,ETRS89,29,"2010, 2014",3.69
0915,9072868,02107,ETRS89,29,2014,1.45
0916,9072869,02107,ETRS89,29,"2014, 2015",3.58
0917,9072870,02107,ETRS89,29,"2010, 2014, 2015",3.68
0918,9072871,02107,ETRS89,29,"2010, 2014, 2015",3.61
0919,9072872,02107,ETRS89,29,"2010, 2014",3.69
0936,9072873,02107,ETRS89,29,2014,2.99
0937,9072874,02107,ETRS89,29,"2014, 2015",3.46
0938,9072875,02107,ETRS89,29,"2014, 2015",3.59
0939,9072876,02107,ETRS89,29,"2014, 2015",3.59
0940,9072877,02107,ETRS89,29,2014,3.54
0958,9072878,02107,ETRS89,29,"2014, 2015",3.25
0959,9072879,02107,ETRS89,29,"2014, 2015",3.51
0960,9072880,02107,ETRS89,29,2015,3.58
0961,9072881,02107,ETRS89,29,"2014, 2015",3.58
0962,9072882,02107,ETRS89,29,2014,3.45
0980,9072883,02107,ETRS89,29,"2014, 2015",3.39
0981,9072884,02107,ETRS89,29,2015,3.39
0982,9072885,02107,ETRS89,29,"2014, 2015",3.37
0983,9072886,02107,ETRS89,29,"2014, 2015",3.45
0984,9072887,02107,ETRS89,29,2014,3.33
0998,9072888,02107,ETRS89,29,"2014, 2015",2.29
0999,9072889,02107,ETRS89,29,2015,2.65
1000,9072890,02107,ETRS89,29,"2014, 2015",3.23
1001,9072891,02107,ETRS89,29,2014,3.21
1002,9072892,02107,ETRS89,29,2014,3.09
1016,9072893,02107,ETRS89,29,2015,0.11
1017,9072894,02107,ETRS89,29,"2014, 2015",1.92
1018,9072895,02107,ETRS89,29,2014,2.54
1019,9072896,02107,ETRS89,29,2014,2.49
1032,9072897,02107,ETRS89,29,2014,0.06
1033,9072898,02107,ETRS89,29,2014,2.12
1034,9072899,02107,ETRS89,29,"2014, 2015",3.23
1047,9072900,02107,ETRS89,29,"2014, 2015",2.2
1048,9072901,02107,ETRS89,29,"2014, 2015",3.45
1061,9072902,02107,ETRS89,29,2015,1.08
1062,9072903,02107,ETRS89,29,2015,3.36
1068,9072904,02107,ETRS89,29,2015,0.31
1069,9072905,02107,ETRS89,29,2015,3.46
1073,9072906,02107,ETRS89,29,2015,2.36
1076,9072907,02107,ETRS89,29,2015,0.06
0001,9072908,02107,ETRS89,30,2010,0.9
0002,9072909,02107,ETRS89,30,"2009, 2010",1.46
0003,9072910,02107,ETRS89,30,2009,0.45
0006,9072911,02107,ETRS89,30,2010,0.67
0007,9072912,02107,ETRS89,30,2010,3.29
0008,9072913,02107,ETRS89,30,"2009, 2010",3.63
0009,9072914,02107,ETRS89,30,2009,2.77
0010,9072915,02107,ETRS89,30,"2009, 2012",1.28
0011,9072916,02107,ETRS89,30,2012,1.31
0012,9072917,02107,ETRS89,30,2012,1.42
0013,9072918,02107,ETRS89,30,2012,1.76
0014,9072919,02107,ETRS89,30,2012,1.6
0015,9072920,02107,ETRS89,30,2012,0.69
0018,9072921,02107,ETRS89,30,2012,0.06
0020,9072922,02107,ETRS89,30,2010,0.08
0021,9072923,02107,ETRS89,30,2010,1.54
0022,9072924,02107,ETRS89,30,"2009, 2010",3.55
0023,9072925,02107,ETRS89,30,"2009, 2010",3.56
0024,9072926,02107,ETRS89,30,"2009, 2012",3.63
0025,9072927,02107,ETRS89,30,"2009, 2012",3.62
0026,9072928,02107,ETRS89,30,2012,3.62
0027,9072929,02107,ETRS89,30,2012,3.59
0028,9072930,02107,ETRS89,30,2012,3.47
0029,9072931,02107,ETRS89,30,2012,3.34
0030,9072932,02107,ETRS89,30,2012,3.32
0031,9072933,02107,ETRS89,30,"2010, 2012",2.66
0032,9072934,02107,ETRS89,30,"2010, 2012",1.65
0033,9072935,02107,ETRS89,30,2012,1.26
0034,9072936,02107,ETRS89,30,2012,2.11
0035,9072937,02107,ETRS89,30,2012,2.8
0036,9072938,02107,ETRS89,30,2012,1.68
0037,9072939,02107,ETRS89,30,2012,1.06
0038,9072940,02107,ETRS89,30,2012,1.6
0039,9072941,02107,ETRS89,30,2012,0.14
0040,9072942,02107,ETRS89,30,2012,0.13
0041,9072943,02107,ETRS89,30,2012,0.53
0043,9072944,02107,ETRS89,30,2010,1.59
0044,9072945,02107,ETRS89,30,2010,3.02
0045,9072946,02107,ETRS89,30,2010,3.54
0046,9072947,02107,ETRS89,30,"2009, 2010",3.62
0047,9072948,02107,ETRS89,30,"2009, 2010",3.41
0048,9072949,02107,ETRS89,30,2009,3.5
0049,9072950,02107,ETRS89,30,"2009, 2012",3.61
0050,9072951,02107,ETRS89,30,"2009, 2012",3.6
0051,9072952,02107,ETRS89,30,2012,3.59
0052,9072953,02107,ETRS89,30,2012,3.56
0053,9072954,02107,ETRS89,30,2012,3.52
0054,9072955,02107,ETRS89,30,2012,3.5
0055,9072956,02107,ETRS89,30,"2010, 2012",3.47
0056,9072957,02107,ETRS89,30,"2010, 2012",3.47
0057,9072958,02107,ETRS89,30,2012,3.4
0058,9072959,02107,ETRS89,30,2012,3.37
0059,9072960,02107,ETRS89,30,"2010, 2012",3.36
