series,filename,id,date,size,page
02107,PNOA_MDT25_ETRS89_HU29_0156_LID.asc,9072727,"2009",6.50,2
02107,PNOA_MDT25_ETRS89_HU29_0157_LID.asc,9072728,"2010,2009",6.86,2
02107,PNOA_MDT25_ETRS89_HU29_0158_LID.asc,9072729,"2010,2009",6.55,2
02107,PNOA_MDT25_ETRS89_HU29_0159_LID.asc,9072730,"2010",7.01,2
02107,PNOA_MDT25_ETRS89_HU29_0160_LID.asc,9072731,"2010",6.98,2
02107,PNOA_MDT25_ETRS89_HU29_0184_LID.asc,9072732,"2010",3.01,2
02107,PNOA_MDT25_ETRS89_HU29_0185_LID.asc,9072733,"2010,2009",5.11,2
02107,PNOA_MDT25_ETRS89_HU29_0186_LID.asc,9072734,"2010,2009",6.30,2
02107,PNOA_MDT25_ETRS89_HU29_0187_LID.asc,9072735,"2009",6.33,2
02107,PNOA_MDT25_ETRS89_HU29_0188_LID.asc,9072736,"2009",6.43,2
02107,PNOA_MDT25_ETRS89_HU29_0189_LID.asc,9072737,"2009",6.49,2
02107,PNOA_MDT25_ETRS89_HU29_0190_LID.asc,9072738,"2010,2009",6.72,2
02107,PNOA_MDT25_ETRS89_HU29_0191_LID.asc,9072739,"2010,2009",6.96,2
02107,PNOA_MDT25_ETRS89_HU29_0192_LID.asc,9072740,"2010",7.39,2
02107,PNOA_MDT25_ETRS89_HU29_0193_LID.asc,9072741,"2010",6.71,2
02107,PNOA_MDT25_ETRS89_HU29_0222_LID.asc,9072742,"2010",2.83,2
02107,PNOA_MDT25_ETRS89_HU29_0223_LID.asc,9072743,"2010,2009",4.99,2
02107,PNOA_MDT25_ETRS89_HU29_0224_LID.asc,9072744,"2009",6.28,2
02107,PNOA_MDT25_ETRS89_HU29_0225_LID.asc,9072745,"2009",6.32,2
02107,PNOA_MDT25_ETRS89_HU29_0226_LID.asc,9072746,"2009",6.45,2
02107,PNOA_MDT25_ETRS89_HU29_0227_LID.asc,9072747,"2009",7.05,2
02107,PNOA_MDT25_ETRS89_HU29_0228_LID.asc,9072748,"2010,2009",6.99,2
02107,PNOA_MDT25_ETRS89_HU29_0229_LID.asc,9072749,"2010,2009",7.36,2
02107,PNOA_MDT25_ETRS89_HU29_0230_LID.asc,9072750,"2010",7.37,2
02107,PNOA_MDT25_ETRS89_HU29_0231_LID.asc,9072751,"2010",6.71,2
02107,PNOA_MDT25_ETRS89_HU29_0260_LID.asc,9072752,"2010,2009",3.11,2
02107,PNOA_MDT25_ETRS89_HU29_0261_LID.asc,9072753,"2010,2009",5.70,2
02107,PNOA_MDT25_ETRS89_HU29_0262_LID.asc,9072754,"2009",5.19,2
02107,PNOA_MDT25_ETRS89_HU29_0263_LID.asc,9072755,"2009",6.39,2
02107,PNOA_MDT25_ETRS89_HU29_0264_LID.asc,9072756,"2009",6.44,2
02107,PNOA_MDT25_ETRS89_HU29_0265_LID.asc,9072757,"2009",6.81,2
02107,PNOA_MDT25_ETRS89_HU29_0266_LID.asc,9072758,"2010,2009",7.12,2
02107,PNOA_MDT25_ETRS89_HU29_0267_LID.asc,9072759,"2010",7.22,2
02107,PNOA_MDT25_ETRS89_HU29_0268_LID.asc,9072760,"2010",6.87,3
02107,PNOA_MDT25_ETRS89_HU29_0269_LID.asc,9072761,"2010",6.70,3
02107,PNOA_MDT25_ETRS89_HU29_0298_LID.asc,9072762,"2009",3.10,3
02107,PNOA_MDT25_ETRS89_HU29_0299_LID.asc,9072763,"2009",4.46,3
02107,PNOA_MDT25_ETRS89_HU29_0300B_LID.asc,9072765,"2009",4.04,3
02107,PNOA_MDT25_ETRS89_HU29_0300_LID.asc,9072764,"2009",4.33,3
