series,filename,id,date,size,page
MDT05,PNOA_MDT05_ETRS89_HU29_0001_LID.asc,9071136,"2010",79.09,1
MDT05,PNOA_MDT05_ETRS89_HU29_0002_LID.asc,9071137,"2010,2009",80.66,1
MDT05,PNOA_MDT05_ETRS89_HU29_0003_LID.asc,9071138,"2009",90.79,1
MDT05,PNOA_MDT05_ETRS89_HU29_0006_LID.asc,9071139,"2010",85.40,1
MDT05,PNOA_MDT05_ETRS89_HU29_0007_LID.asc,9071140,"2010",140.92,1
MDT05,PNOA_MDT05_ETRS89_HU29_0008_LID.asc,9071141,"2010,2009",155.26,1
MDT05,PNOA_MDT05_ETRS89_HU29_0009_LID.asc,9071142,"2009",126.91,1
MDT05,PNOA_MDT05_ETRS89_HU29_0010_LID.asc,9071143,"2009,2012",107.20,1
MDT05,PNOA_MDT05_ETRS89_HU29_0011_LID.asc,9071144,"2012",109.74,1
MDT05,PNOA_MDT05_ETRS89_HU29_0012_LID.asc,9071145,"2012",100.14,1
MDT05,PNOA_MDT05_ETRS89_HU29_0013_LID.asc,9071146,"2012",97.23,1
MDT05,PNOA_MDT05_ETRS89_HU29_0020_LID.asc,9071147,"2010",68.23,1
MDT05,PNOA_MDT05_ETRS89_HU29_0021_LID.asc,9071148,"2010",89.81,1
MDT05,PNOA_MDT05_ETRS89_HU29_0022_LID.asc,9071149,"2010,2009",152.58,1
MDT05,PNOA_MDT05_ETRS89_HU29_0023_LID.asc,9071150,"2010,2009",157.11,1
MDT05,PNOA_MDT05_ETRS89_HU29_0024_LID.asc,9071151,"2009,2012",157.45,1
MDT05,PNOA_MDT05_ETRS89_HU29_0025_LID.asc,9071152,"2009,2012",154.63,1
MDT05,PNOA_MDT05_ETRS89_HU29_0026_LID.asc,9071153,"2012",157.23,1
MDT05,PNOA_MDT05_ETRS89_HU29_0027_LID.asc,9071154,"2012",158.77,1
MDT05,PNOA_MDT05_ETRS89_HU29_0028_LID.asc,9071155,"2012",158.71,1
MDT05,PNOA_MDT05_ETRS89_HU29_0043_LID.asc,9071156,"2010",94.62,1
MDT05,PNOA_MDT05_ETRS89_HU29_0044_LID.asc,9071157,"2010",132.76,1
MDT05,PNOA_MDT05_ETRS89_HU29_0045_LID.asc,9071158,"2010",146.92,1
MDT05,PNOA_MDT05_ETRS89_HU29_0046_LID.asc,9071159,"2010,2009",155.66,1
MDT05,PNOA_MDT05_ETRS89_HU29_0047_LID.asc,9071160,"2010,2009",157.40,1
MDT05,PNOA_MDT05_ETRS89_HU29_0048_LID.asc,9071161,"2009",158.69,1
MDT05,PNOA_MDT05_ETRS89_HU29_0049_LID.asc,9071162,"2009,2012",157.65,1
MDT05,PNOA_MDT05_ETRS89_HU29_0050_LID.asc,9071163,"2009,2012",160.78,1
MDT05,PNOA_MDT05_ETRS89_HU29_0051_LID.asc,9071164,"2012",162.14,1
MDT05,PNOA_MDT05_ETRS89_HU29_0052_LID.asc,9071165,"2012",165.62,1
MDT05,PNOA_MDT05_ETRS89_HU29_0067_LID.asc,9071166,"2010",35.84,1
MDT05,PNOA_MDT05_ETRS89_HU29_0068_LID.asc,9071167,"2010",148.53,1
MDT05,PNOA_MDT05_ETRS89_HU29_0069_LID.asc,9071168,"2010",153.91,1
MDT05,PNOA_MDT05_ETRS89_HU29_0070_LID.asc,9071169,"2010",155.21,1
MDT05,PNOA_MDT05_ETRS89_HU29_0071_LID.asc,9071170,"2010,2009",156.49,1
MDT05,PNOA_MDT05_ETRS89_HU29_0072_LID.asc,9071171,"2009",157.80,1
MDT05,PNOA_MDT05_ETRS89_HU29_0073_LID.asc,9071172,"2009",159.19,1
MDT05,PNOA_MDT05_ETRS89_HU29_0074_LID.asc,9071173,"2009,2012",159.73,1
MDT05,PNOA_MDT05_ETRS89_HU29_0075_LID.asc,9071174,"2010,2009,2012",166.13,1
