series,filename,id,date,size,page
MDT02,MDT02-ETRS89-HU29-0001-2-COB2.asc,10323899,"2015",241.18,1
MDT02,MDT02-ETRS89-HU29-0001-3-COB2.asc,10323778,"2015",240.17,1
MDT02,MDT02-ETRS89-HU29-0001-4-COB2.asc,10323707,"2015",226.98,1
MDT02,MDT02-ETRS89-HU29-0002-1-COB2.asc,10323961,"2016,2015",241.25,1
MDT02,MDT02-ETRS89-HU29-0002-2-COB2.asc,10323968,"2016,2015",239.01,1
MDT02,MDT02-ETRS89-HU29-0002-3-COB2.asc,10323934,"2016,2015",221.31,1
MDT02,MDT02-ETRS89-HU29-0002-4-COB2.asc,10323948,"2016,2015",224.39,1
MDT02,MDT02-ETRS89-HU29-0003-3-COB2.asc,10323851,"2016",229.57,1
MDT02,MDT02-ETRS89-HU29-0006-2-COB2.asc,10323866,"2015",243.14,1
MDT02,MDT02-ETRS89-HU29-0006-4-COB2.asc,10323760,"2015",218.76,1
MDT02,MDT02-ETRS89-HU29-0007-1-COB2.asc,10323829,"2015",228.66,1
MDT02,MDT02-ETRS89-HU29-0007-2-COB2.asc,10323704,"2015",240.59,1
MDT02,MDT02-ETRS89-HU29-0007-3-COB2.asc,10323774,"2015",229.33,1
MDT02,MDT02-ETRS89-HU29-0007-4-COB2.asc,10323789,"2015",244.61,1
MDT02,MDT02-ETRS89-HU29-0008-1-COB2.asc,10323977,"2016,2015",244.18,1
MDT02,MDT02-ETRS89-HU29-0008-2-COB2.asc,10323949,"2016,2015",240.96,1
MDT02,MDT02-ETRS89-HU29-0008-3-COB2.asc,10323958,"2016,2015",246.54,1
MDT02,MDT02-ETRS89-HU29-0008-4-COB2.asc,10323947,"2016,2015",247.33,1
MDT02,MDT02-ETRS89-HU29-0009-1-COB2.asc,10323820,"2016",245.66,1
MDT02,MDT02-ETRS89-HU29-0009-2-COB2.asc,10323904,"2016",242.66,1
MDT02,MDT02-ETRS89-HU29-0009-3-COB2.asc,10323869,"2016",239.62,1
MDT02,MDT02-ETRS89-HU29-0009-4-COB2.asc,10323909,"2016",234.40,1
MDT02,MDT02-ETRS89-HU29-0010-3-COB2.asc,10323726,"2020",229.63,1
MDT02,MDT02-ETRS89-HU29-0010-4-COB2.asc,10323875,"2020",226.56,1
MDT02,MDT02-ETRS89-HU29-0011-3-COB2.asc,11274705,"2020",229.47,1
MDT02,MDT02-ETRS89-HU29-0011-4-COB2.asc,11274706,"2020",235.49,1
MDT02,MDT02-ETRS89-HU29-0012-2-COB2.asc,11274707,"2020",255.18,1
MDT02,MDT02-ETRS89-HU29-0012-3-COB2.asc,11274708,"2020",239.36,1
MDT02,MDT02-ETRS89-HU29-0012-4-COB2.asc,11274709,"2020",242.77,1
MDT02,MDT02-ETRS89-HU29-0013-1-COB2.asc,11274710,"2020",256.60,1
MDT02,MDT02-ETRS89-HU29-0013-2-COB2.asc,11274711,"2020",259.79,1
MDT02,MDT02-ETRS89-HU29-0013-3-COB2.asc,11274712,"2020",238.34,1
