series,filename,id,date,size,page
02109,PNOA_MDT200_ETRS89_HU29_A_Coruna.asc,9074184,"2011",3.90,1
02109,PNOA_MDT200_ETRS89_HU30_A_Coruna.asc,9074197,"2011",3.91,1
02109,PNOA_MDT200_ETRS89_HU30_Alava.asc,9074198,"2012",2.67,1
02109,PNOA_MDT200_ETRS89_HU30_Albacete.asc,9074199,"2009",7.93,1
02109,PNOA_MDT200_ETRS89_HU30_Alboran.asc,9074200,"2002",0.01,1
02109,PNOA_MDT200_ETRS89_HU30_Alicante.asc,9074201,"2009",3.70,1
02109,PNOA_MDT200_ETRS89_HU31_Alicante.asc,9074248,"2009",0.54,1
02109,PNOA_MDT200_ETRS89_HU30_Almeria.asc,9074202,"2014,2015",5.23,1
02109,PNOA_MDT200_ETRS89_HU30_Asturias.asc,9074203,"2012",5.21,1
02109,PNOA_MDT200_ETRS89_HU29_Asturias.asc,9074185,"2012",3.23,1
02109,PNOA_MDT200_ETRS89_HU30_Avila.asc,9074204,"2010,2015",5.27,1
02109,PNOA_MDT200_ETRS89_HU30_Badajoz.asc,9074205,"2010",10.01,1
02109,PNOA_MDT200_ETRS89_HU29_Badajoz.asc,9074186,"2010",6.65,1
02109,PNOA_MDT200_ETRS89_HU30_Baleares.asc,9074206,"2014",7.47,1
02109,PNOA_MDT200_ETRS89_HU31_Baleares.asc,9074249,"2014",7.11,1
02109,PNOA_MDT200_ETRS89_HU31_Barcelona.asc,9074250,"2008,2009,2010",4.17,1
02109,PNOA_MDT200_ETRS89_HU30_Barcelona.asc,9074207,"2008,2009,2010",4.23,1
02109,PNOA_MDT200_ETRS89_HU30_Burgos.asc,9074208,"2010,2012",8.26,1
02109,PNOA_MDT200_ETRS89_HU29_Caceres.asc,9074187,"2010",6.70,1
02109,PNOA_MDT200_ETRS89_HU30_Caceres.asc,9074209,"2010",8.84,1
02109,PNOA_MDT200_ETRS89_HU30_Cadiz.asc,9074210,"2014,2015",3.40,1
02109,PNOA_MDT200_ETRS89_HU29_Cadiz.asc,9074188,"2014,2015",1.56,1
02109,PNOA_MDT200_ETRS89_HU30_Cantabria.asc,9074211,"2012",3.51,1
02109,PNOA_MDT200_ETRS89_HU30_Castellon.asc,9074212,"2009",4.38,1
02109,PNOA_MDT200_ETRS89_HU31_Castellon.asc,9074251,"2009",2.90,1
02109,PNOA_MDT200_ETRS89_HU30_Ceuta.asc,9074213,"2014",0.01,1
02109,PNOA_MDT200_ETRS89_HU30_Ciudad_Real.asc,9074214,"2009",8.05,1
02109,PNOA_MDT200_ETRS89_HU30_Cordoba.asc,9074215,"2009,2014",6.71,1
02109,PNOA_MDT200_ETRS89_HU30_Cuenca.asc,9074216,"2009",8.14,1
02109,PNOA_MDT200_ETRS89_HU31_Girona.asc,9074252,"2008,2009,2010,2011",3.52,1
02109,PNOA_MDT200_ETRS89_HU30_Girona.asc,9074217,"2008,2009,2010,2011",3.57,1
02109,PNOA_MDT200_ETRS89_HU30_Granada.asc,9074218,"2014,2015",7.88,1
02109,PNOA_MDT200_ETRS89_HU30_Guadalajara.asc,9074219,"2009",7.07,1
02109,PNOA_MDT200_ETRS89_HU30_Guipuzcoa.asc,9074220,"2012",1.55,1
02109,PNOA_MDT200_ETRS89_HU29_Huelva.asc,9074189,"2014,2015",4.72,1
02109,PNOA_MDT200_ETRS89_HU30_Huelva.asc,9074221,"2014,2015",4.92,1
02109,PNOA_MDT200_ETRS89_HU30_Huesca.asc,9074222,"2010,2011,2012",6.96,1
02109,PNOA_MDT200_ETRS89_HU31_Huesca.asc,9074253,"2010,2011,2012",4.27,1
02109,PNOA_MDT200_ETRS89_HU30_Jaen.asc,9074223,"2009,2014",6.42,1
02109,PNOA_MDT200_ETRS89_HU30_La_Rioja.asc,9074224,"2010,2012",3.62,1
02109,PNOA_MDT200_REGCAN95_HU28_Gran_Canaria.asc,9074258,"2016",6.25,1
02109,PNOA_MDT200_ETRS89_HU30_Leon.asc,9074225,"2010,2012",7.65,1
02109,PNOA_MDT200_ETRS89_HU29_Leon.asc,9074190,"2010,2012",5.51,1
02109,PNOA_MDT200_ETRS89_HU30_Lleida.asc,9074226,"2008,2009,2010,2011",6.25,1
02109,PNOA_MDT200_ETRS89_HU31_Lleida.asc,9074254,"2008,2009,2010,2011",6.09,1
02109,PNOA_MDT200_ETRS89_HU29_Lugo.asc,9074191,"2009,2011",4.54,1
02109,PNOA_MDT200_ETRS89_HU30_Lugo.asc,9074227,"2009,2011",4.54,1
02109,PNOA_MDT200_ETRS89_HU30_Madrid.asc,9074228,"2010",5.82,1
02109,PNOA_MDT200_ETRS89_HU30_Malaga.asc,9074229,"2014,2015",4.76,1
02109,PNOA_MDT200_ETRS89_HU30_Melilla.asc,9074230,"2014",0.01,1
02109,PNOA_MDT200_ETRS89_HU30_Murcia.asc,9074231,"2009",6.25,2
02109,PNOA_MDT200_ETRS89_HU30_Navarra.asc,9074232,"2012",6.17,2
02109,PNOA_MDT200_ETRS89_HU29_Ourense.asc,9074192,"2009",3.73,2
02109,PNOA_MDT200_ETRS89_HU30_Ourense.asc,9074233,"2009",3.70,2
02109,PNOA_MDT200_ETRS89_HU30_Palencia.asc,9074234,"2010,2012",4.74,2
02109,PNOA_MDT200_ETRS89_HU29_Pontevedra.asc,9074193,"2009,2011",3.31,2
02109,PNOA_MDT200_ETRS89_HU30_Pontevedra.asc,9074235,"2009,2011",3.04,2
02109,PNOA_MDT200_ETRS89_HU29_Salamanca.asc,9074194,"2015",3.79,2
